Elevation Zone,Value
0-500,0.048110962
0-500,0.05022812
0-500,0.09075165
0-500,0.08663559
0-500,0.10123825
0-500,0.09579468
0-500,0.100317
0-500,0.096185684
0-500,0.094861984
0-500,0.090078354
0-500,0.07214737
0-500,0.06340027
0-500,0.058494568
0-500,0.051599503
0-500,0.06027031
0-500,0.071912766
0-500,0.07828903
0-500,0.07559395
0-500,0.06956291
0-500,0.061531067
0-500,0.06043625
0-500,0.061714172
0-500,0.056468964
0-500,0.050743103
0-500,0.041936874
0-500,0.043600082
0-500,0.039800644
0-500,0.06331253
0-500,0.05725479
0-500,0.05775261
0-500,0.08897781
0-500,0.11316872
0-500,0.12045288
0-500,0.12795067
0-500,0.123477936
0-500,0.1248436
0-500,0.12664986
0-500,0.13563728
0-500,0.14554787
0-500,0.14330482
0-500,0.1453991
0-500,0.14396286
0-500,0.14064407
0-500,0.1444397
0-500,0.15275574
0-500,0.15903091
0-500,0.16382027
0-500,0.16710663
0-500,0.17438126
0-500,0.16823387
0-500,0.170681
0-500,0.17097282
0-500,0.17137718
0-500,0.17661476
0-500,0.16634369
0-500,0.16469002
0-500,0.16867065
0-500,0.17901611
0-500,0.18803215
0-500,0.19477463
0-500,0.19413757
0-500,0.19456863
0-500,0.19446945
0-500,0.18950081
0-500,0.1943245
0-500,0.19945145
0-500,0.2038269
0-500,0.21315956
0-500,0.21899796
0-500,0.21902275
0-500,0.21867943
0-500,0.22290802
0-500,0.21742249
0-500,0.21110344
0-500,0.20791435
0-500,0.20360565
0-500,0.1990776
0-500,0.19636917
0-500,0.20715523
0-500,0.21211052
0-500,0.21626282
0-500,0.20178032
0-500,0.19834137
0-500,0.19709587
0-500,0.20261192
0-500,0.19957161
0-500,0.19042015
0-500,0.18254852
0-500,0.17381477
0-500,0.17042923
0-500,0.1657753
0-500,0.2784176
0-500,0.2867241
0-500,0.2761364
0-500,0.27890015
0-500,0.27910042
0-500,0.28956032
0-500,0.29554367
0-500,0.30272484
0-500,0.3086071
0-500,0.3159256
0-500,0.318573
0-500,0.3184471
0-500,0.32544708
0-500,0.33651733
0-500,0.33808327
0-500,0.34358788
0-500,0.3488903
0-500,0.3550396
0-500,0.3649025
0-500,0.3649578
0-500,0.36354065
0-500,0.35694885
0-500,0.35499382
0-500,0.3535347
0-500,0.34751892
0-500,0.34358025
0-500,0.33790398
0-500,0.32891846
0-500,0.32645226
0-500,0.3313446
0-500,0.3405819
0-500,0.34916115
0-500,0.35537148
0-500,0.3628769
0-500,0.3608837
0-500,0.36011696
0-500,0.35830688
0-500,0.3535061
0-500,0.34975433
0-500,0.3386593
0-500,0.33415222
0-500,0.3295784
0-500,0.3296795
0-500,0.32621765
0-500,0.32917023
0-500,0.33428764
0-500,0.34668732
0-500,0.3596592
0-500,0.3713646
0-500,0.3771801
0-500,0.37826538
0-500,0.36779404
0-500,0.36135674
0-500,0.3698883
0-500,0.37753487
