Elevation Zone,Value
0-500,0.044280052
0-500,0.04626274
0-500,0.062387466
0-500,0.078419685
0-500,0.07789421
0-500,0.075390816
0-500,0.06649208
0-500,0.0637722
0-500,0.05639267
0-500,0.047969818
0-500,0.053462982
0-500,0.056183815
0-500,0.060071945
0-500,0.060091972
0-500,0.056220055
0-500,0.053866386
0-500,0.044498444
0-500,0.03852272
0-500,0.030682564
0-500,0.028550148
0-500,0.03171158
0-500,0.030200958
0-500,0.02342987
0-500,0.017611504
0-500,0.013307571
0-500,0.014791489
0-500,0.016896248
0-500,0.06400299
0-500,0.06319523
0-500,0.06878185
0-500,0.07087612
0-500,0.067811966
0-500,0.07109356
0-500,0.07661724
0-500,0.065042496
0-500,0.047901154
0-500,0.050533295
0-500,0.049315453
0-500,0.050066948
0-500,0.052666664
0-500,0.04999733
0-500,0.0607996
0-500,0.06812763
0-500,0.07788086
0-500,0.09370136
0-500,0.09497261
0-500,0.10177612
0-500,0.09976578
0-500,0.095869064
0-500,0.09150791
0-500,0.092598915
0-500,0.09558296
0-500,0.09274292
0-500,0.10218239
0-500,0.113443375
0-500,0.12479019
0-500,0.13696861
0-500,0.15066528
0-500,0.15487385
0-500,0.16456318
0-500,0.16383934
0-500,0.16462135
0-500,0.16773415
0-500,0.1703434
0-500,0.1763792
0-500,0.18154907
0-500,0.18951607
0-500,0.197752
0-500,0.20360184
0-500,0.21328735
0-500,0.22338676
0-500,0.23350525
0-500,0.245121
0-500,0.2530098
0-500,0.25287437
0-500,0.25167847
0-500,0.24766922
0-500,0.24890709
0-500,0.24212837
0-500,0.24480247
0-500,0.25222015
0-500,0.25343704
0-500,0.2514
0-500,0.24368095
0-500,0.2405796
0-500,0.24296188
0-500,0.24199104
0-500,0.23275948
0-500,0.231246
0-500,0.22579193
0-500,0.22392654
0-500,0.24929428
0-500,0.26246834
0-500,0.275486
0-500,0.27617645
0-500,0.27710533
0-500,0.27951813
0-500,0.28260994
0-500,0.2832451
0-500,0.28869057
0-500,0.29402542
0-500,0.29623985
0-500,0.29588127
0-500,0.30049706
0-500,0.30389404
0-500,0.30636787
0-500,0.30979347
0-500,0.3087387
0-500,0.30690575
0-500,0.29838943
0-500,0.28383255
0-500,0.2928524
0-500,0.30088043
0-500,0.30218887
0-500,0.3036003
0-500,0.29863167
0-500,0.29449844
0-500,0.29850197
0-500,0.293396
0-500,0.2910843
0-500,0.2855053
0-500,0.28409386
0-500,0.29011154
0-500,0.29671478
0-500,0.29777718
0-500,0.3010006
0-500,0.29959488
0-500,0.30091476
0-500,0.30144882
0-500,0.2891636
0-500,0.29049683
0-500,0.2834015
0-500,0.267704
0-500,0.25531387
0-500,0.24489403
0-500,0.24102783
0-500,0.24476051
0-500,0.2519474
0-500,0.26384163
0-500,0.27147675
0-500,0.2776451
0-500,0.27758026
0-500,0.27958488
0-500,0.27889633
0-500,0.27542496
0-500,0.2708969
0-500,0.2682457
0-500,0.26719475
0-500,0.26680565
0-500,0.26646423
0-500,0.2654171
0-500,0.27064133
0-500,0.27531433
0-500,0.28324127
0-500,0.28842354
0-500,0.29278564
0-500,0.2922001
0-500,0.29282188
0-500,0.2943287
0-500,0.28995895
0-500,0.2865677
