daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_maximum,p90,1981_2020,1981_2010,1,ENF,991,0.2906975038838314,0.3097991943359375,0.08160364383007096
daily_maximum,p90,1981_2020,1981_2010,2,EBF,158,0.14454241643978072,0.12271881103515625,0.07748759551679889
daily_maximum,p90,1981_2020,1981_2010,4,DBF,2922,0.3142592745395167,0.3124723434448242,0.0808533777984876
daily_maximum,p90,1981_2020,1981_2010,5,MF,3237,0.3275359365576979,0.31851959228515625,0.06953648279060061
daily_maximum,p90,1981_2020,1981_2010,6,Closed Shrub,1,0.3731231689453125,0.3731231689453125,0.0
daily_maximum,p90,1981_2020,1981_2010,7,Open Shrub,3126,0.1950824112748764,0.18123912811279297,0.09372371839512024
daily_maximum,p90,1981_2020,1981_2010,8,Woody Savanna,3350,0.2661739050452389,0.2612800598144531,0.0962728480076588
daily_maximum,p90,1981_2020,1981_2010,9,Savanna,6465,0.26824039170102193,0.2756805419921875,0.09721421684309481
daily_maximum,p90,1981_2020,1981_2010,10,Grass,7890,0.2600544773580457,0.2612419128417969,0.08784590790632175
daily_maximum,p90,1981_2020,1981_2010,11,Wetland,20,0.3687620162963867,0.35457611083984375,0.0717530617294629
daily_maximum,p90,1981_2020,1981_2010,12,Cropland,23648,0.3135779011233411,0.31015777587890625,0.10724546825534545
daily_maximum,p90,1981_2020,1981_2010,13,Urban,893,0.2833512926689054,0.2886810302734375,0.08312344087453567
daily_maximum,p90,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.22778429824914506,0.22398090362548828,0.0774806169485693
daily_maximum,p90,1981_2020,1981_2010,15,Snow/Ice,4,0.28724539279937744,0.2975633144378662,0.03169692713664286
daily_maximum,p90,1981_2020,1981_2010,16,Barren,11917,0.1578854973548069,0.155975341796875,0.0449577951850872
daily_maximum,p90,1981_2020,1981_2010,17,Water,1722,0.24126047927466557,0.23447036743164062,0.09458731989357831
daily_maximum,p90,1991_2020,1981_2010,1,ENF,991,0.4618220786393952,0.4854736328125,0.11666660421559483
daily_maximum,p90,1991_2020,1981_2010,2,EBF,158,0.22076053860821301,0.1945514678955078,0.1303788153063849
daily_maximum,p90,1991_2020,1981_2010,4,DBF,2922,0.5002533846077732,0.4956350326538086,0.11838160598502566
daily_maximum,p90,1991_2020,1981_2010,5,MF,3237,0.5151118351273747,0.5049095153808594,0.09568080346089164
daily_maximum,p90,1991_2020,1981_2010,6,Closed Shrub,1,0.5594005584716797,0.5594005584716797,0.0
daily_maximum,p90,1991_2020,1981_2010,7,Open Shrub,3126,0.30447177618494115,0.2758970260620117,0.13814456998796382
daily_maximum,p90,1991_2020,1981_2010,8,Woody Savanna,3350,0.4120093294399888,0.4035196304321289,0.1504032780933832
daily_maximum,p90,1991_2020,1981_2010,9,Savanna,6465,0.41800340473974573,0.4237041473388672,0.14942179497033573
daily_maximum,p90,1991_2020,1981_2010,10,Grass,7890,0.42361116880699706,0.43266868591308594,0.13680031704644968
daily_maximum,p90,1991_2020,1981_2010,11,Wetland,20,0.6046899795532227,0.6134567260742188,0.10712034943517296
daily_maximum,p90,1991_2020,1981_2010,12,Cropland,23648,0.5009738904132894,0.49612903594970703,0.15361825085017877
daily_maximum,p90,1991_2020,1981_2010,13,Urban,893,0.46613647636080374,0.4803600311279297,0.1218955368498836
daily_maximum,p90,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.3475993667075883,0.3611583709716797,0.13173906875635952
daily_maximum,p90,1991_2020,1981_2010,15,Snow/Ice,4,0.3735600709915161,0.410707950592041,0.08185359895954694
daily_maximum,p90,1991_2020,1981_2010,16,Barren,11917,0.2927020614835613,0.2815361022949219,0.07889509013222071
daily_maximum,p90,1991_2020,1981_2010,17,Water,1722,0.3903637153900182,0.3849153518676758,0.14425599939737216
