daily_statistic,percentile,baseline_A,baseline_B,LC_code,LC_name,count,mean,median,std
daily_mean,p90,1981_2020,1981_2010,1,ENF,991,0.24533315287107896,0.2598915100097656,0.06388584522966535
daily_mean,p90,1981_2020,1981_2010,2,EBF,158,0.13237125662308705,0.0997304916381836,0.0634842792345287
daily_mean,p90,1981_2020,1981_2010,4,DBF,2922,0.2815074457198606,0.28836679458618164,0.05717576000766466
daily_mean,p90,1981_2020,1981_2010,5,MF,3237,0.27586487571803514,0.2778511047363281,0.060931392464686485
daily_mean,p90,1981_2020,1981_2010,6,Closed Shrub,1,0.285064697265625,0.285064697265625,0.0
daily_mean,p90,1981_2020,1981_2010,7,Open Shrub,3126,0.17908655094627532,0.1662435531616211,0.06438027587657089
daily_mean,p90,1981_2020,1981_2010,8,Woody Savanna,3350,0.23437803496175738,0.2376413345336914,0.08351815621193077
daily_mean,p90,1981_2020,1981_2010,9,Savanna,6465,0.2257431284734102,0.2286386489868164,0.07811719641492061
daily_mean,p90,1981_2020,1981_2010,10,Grass,7890,0.22592530978420994,0.22542667388916016,0.06547298272473494
daily_mean,p90,1981_2020,1981_2010,11,Wetland,20,0.3145033359527588,0.3118133544921875,0.03455716041754638
daily_mean,p90,1981_2020,1981_2010,12,Cropland,23648,0.26330672954593526,0.26305103302001953,0.08113123113565768
daily_mean,p90,1981_2020,1981_2010,13,Urban,893,0.23445179908299632,0.2291860580444336,0.06932710624747102
daily_mean,p90,1981_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.20020602265400672,0.1957693099975586,0.0760605566530814
daily_mean,p90,1981_2020,1981_2010,15,Snow/Ice,4,0.2522577829658985,0.25594377517700195,0.039465962027565984
daily_mean,p90,1981_2020,1981_2010,16,Barren,11917,0.18267500109947438,0.1801605224609375,0.0403020216353612
daily_mean,p90,1981_2020,1981_2010,17,Water,1722,0.22960579436830528,0.23178482055664062,0.07840425518210566
daily_mean,p90,1991_2020,1981_2010,1,ENF,991,0.38670282719955673,0.4129905700683594,0.09152153616530131
daily_mean,p90,1991_2020,1981_2010,2,EBF,158,0.20512070233308816,0.16162109375,0.10138543270800719
daily_mean,p90,1991_2020,1981_2010,4,DBF,2922,0.444613069642659,0.45467710494995117,0.08079949390579995
daily_mean,p90,1991_2020,1981_2010,5,MF,3237,0.432554780755619,0.4362831115722656,0.08006644735449504
daily_mean,p90,1991_2020,1981_2010,6,Closed Shrub,1,0.42736053466796875,0.42736053466796875,0.0
daily_mean,p90,1991_2020,1981_2010,7,Open Shrub,3126,0.27056196021179474,0.2473602294921875,0.10800953433480595
daily_mean,p90,1991_2020,1981_2010,8,Woody Savanna,3350,0.3612956902518201,0.3782997131347656,0.12719774202890727
daily_mean,p90,1991_2020,1981_2010,9,Savanna,6465,0.3520581870879301,0.35595703125,0.11916565389548801
daily_mean,p90,1991_2020,1981_2010,10,Grass,7890,0.36927560388815267,0.3755072355270386,0.10765232068450512
daily_mean,p90,1991_2020,1981_2010,11,Wetland,20,0.5150490760803222,0.5373678207397461,0.04917353665479376
daily_mean,p90,1991_2020,1981_2010,12,Cropland,23648,0.4192070836586946,0.43439817428588867,0.11815840231404523
daily_mean,p90,1991_2020,1981_2010,13,Urban,893,0.3854458051726372,0.37628746032714844,0.10176986693727344
daily_mean,p90,1991_2020,1981_2010,14,Crop/Nat Mosaic,1072,0.3094881630655545,0.30425262451171875,0.12419530965204792
daily_mean,p90,1991_2020,1981_2010,15,Snow/Ice,4,0.35296113416552544,0.36685335636138916,0.06746020981507536
daily_mean,p90,1991_2020,1981_2010,16,Barren,11917,0.32019748893411926,0.3124732971191406,0.08033409641632726
daily_mean,p90,1991_2020,1981_2010,17,Water,1722,0.3660863096567258,0.36555004119873047,0.11902822784363043
daily_mean,p95,1981_2020,1981_2010,1,ENF,991,0.244452328782991,0.25761985778808594,0.06913189682013537
daily_mean,p95,1981_2020,1981_2010,2,EBF,158,0.13163598579696462,0.09535980224609375,0.07248719997886365
daily_mean,p95,1981_2020,1981_2010,4,DBF,2922,0.28826915948542725,0.29442548751831055,0.07284793270115056
daily_mean,p95,1981_2020,1981_2010,5,MF,3237,0.2874171828870093,0.2933206558227539,0.054100955780756396
daily_mean,p95,1981_2020,1981_2010,6,Closed Shrub,1,0.3298664093017578,0.3298664093017578,0.0
daily_mean,p95,1981_2020,1981_2010,7,Open Shrub,3126,0.18554924149125795,0.17701339721679688,0.08330338511421224
daily_mean,p95,1981_2020,1981_2010,8,Woody Savanna,3350,0.23269848424996903,0.24433279037475586,0.08650613806261685
