Elevation Zone,Value
0-500,0.03382969
0-500,0.03502655
0-500,0.027565002
0-500,0.025314331
0-500,0.03376484
0-500,0.044935226
0-500,0.042884827
0-500,0.03522873
0-500,0.034009933
0-500,0.03340912
0-500,0.03602028
0-500,0.043772697
0-500,0.043338776
0-500,0.043004036
0-500,0.04134369
0-500,0.0356369
0-500,0.029192924
0-500,0.031017303
0-500,0.027133942
0-500,0.024131775
0-500,0.02640152
0-500,0.025120735
0-500,0.024662018
0-500,0.027910233
0-500,0.024346352
0-500,0.029332161
0-500,0.026903152
0-500,0.07634735
0-500,0.0773716
0-500,0.0735836
0-500,0.07681942
0-500,0.0985651
0-500,0.10418701
0-500,0.10834122
0-500,0.11218834
0-500,0.11008167
0-500,0.10288715
0-500,0.098106384
0-500,0.103554726
0-500,0.09631348
0-500,0.10273266
0-500,0.10399437
0-500,0.090444565
0-500,0.08809757
0-500,0.07859421
0-500,0.082639694
0-500,0.08776379
0-500,0.090696335
0-500,0.09215164
0-500,0.094696045
0-500,0.1016655
0-500,0.10785675
0-500,0.114305496
0-500,0.12178612
0-500,0.1220417
0-500,0.1239357
0-500,0.13005257
0-500,0.13733673
0-500,0.14006996
0-500,0.14139938
0-500,0.14579582
0-500,0.14479256
0-500,0.14190292
0-500,0.13747025
0-500,0.13822556
0-500,0.13383484
0-500,0.13294029
0-500,0.13376427
0-500,0.13541985
0-500,0.1356411
0-500,0.13682556
0-500,0.14140892
0-500,0.14459038
0-500,0.14341354
0-500,0.14727402
0-500,0.15045357
0-500,0.1539402
0-500,0.15623474
0-500,0.15729713
0-500,0.15835571
0-500,0.16073036
0-500,0.154068
0-500,0.15060616
0-500,0.14250565
0-500,0.14484978
0-500,0.1432991
0-500,0.14793587
0-500,0.14341545
0-500,0.13489532
0-500,0.13450813
0-500,0.13573647
0-500,0.17839813
0-500,0.18099403
0-500,0.18763924
0-500,0.19571877
0-500,0.20313835
0-500,0.20745659
0-500,0.21408272
0-500,0.21801186
0-500,0.21937943
0-500,0.22732544
0-500,0.23469734
0-500,0.2448349
0-500,0.24734116
0-500,0.2521019
0-500,0.2596531
0-500,0.26145744
0-500,0.26839638
0-500,0.27772713
0-500,0.27627945
0-500,0.28012848
0-500,0.28354645
0-500,0.2828846
0-500,0.28391647
0-500,0.28956413
0-500,0.29491997
0-500,0.2973938
0-500,0.3000908
0-500,0.29488564
0-500,0.29032135
0-500,0.28998566
0-500,0.289114
0-500,0.28899193
0-500,0.29045486
0-500,0.2909813
0-500,0.29252243
0-500,0.29101753
0-500,0.29345512
0-500,0.2879429
0-500,0.288002
0-500,0.28725433
0-500,0.28240585
0-500,0.28083992
0-500,0.2824421
0-500,0.27660942
0-500,0.27501678
0-500,0.26892853
0-500,0.2722969
0-500,0.27771378
0-500,0.28661728
0-500,0.28723717
0-500,0.28685188
0-500,0.28285408
0-500,0.28315926
0-500,0.2835331
0-500,0.28248978
0-500,0.27835083
0-500,0.274189
0-500,0.2713375
0-500,0.27024078
0-500,0.26932335
0-500,0.26916885
0-500,0.26280403
0-500,0.26775742
0-500,0.26781464
0-500,0.26790237
0-500,0.27079582
0-500,0.2662239
0-500,0.26640892
0-500,0.2642498
0-500,0.2587223
0-500,0.26247597
0-500,0.26330566
0-500,0.2643051
0-500,0.27233124
0-500,0.2728443
0-500,0.27428818
0-500,0.2801056
0-500,0.28069115
0-500,0.29467392
0-500,0.30778885
0-500,0.3071003
0-500,0.30934715
0-500,0.3092537
0-500,0.30903435
0-500,0.31216812
0-500,0.3139553
0-500,0.3061905
0-500,0.30431366
0-500,0.3063774
0-500,0.30929947
0-500,0.30703545
0-500,0.30694962
0-500,0.31947517
0-500,0.31884766
0-500,0.31796074
0-500,0.31926918
0-500,0.32087326
0-500,0.32520485
0-500,0.3300457
0-500,0.3339634
0-500,0.34414864
0-500,0.34676933
0-500,0.34861374
0-500,0.35032845
0-500,0.35545158
0-500,0.36257362
0-500,0.3625965
0-500,0.36162567
0-500,0.36133194
0-500,0.35873985
0-500,0.35478783
0-500,0.3569088
0-500,0.3618965
0-500,0.36862564
0-500,0.36501312
0-500,0.37062454
0-500,0.3701687
0-500,0.37594795
0-500,0.3773346
0-500,0.3783722
0-500,0.3728218
0-500,0.3665905
0-500,0.3605156
0-500,0.35265732
0-500,0.3581066
0-500,0.367918
0-500,0.38080978
0-500,0.3909359
0-500,0.39110756
0-500,0.39346504
0-500,0.3886795
0-500,0.3856964
0-500,0.38659096
0-500,0.3897934
0-500,0.3908081
0-500,0.3932953
0-500,0.38728333
0-500,0.38667297
0-500,0.39327812
0-500,0.3934822
0-500,0.4000759
0-500,0.4038086
0-500,0.39817238
0-500,0.39663696
0-500,0.3946705
0-500,0.38648605
0-500,0.37908745
0-500,0.37491608
0-500,0.37142944
0-500,0.36732674
0-500,0.36623
0-500,0.36217308
0-500,0.35848045
0-500,0.34721947
0-500,0.33677673
0-500,0.33498383
0-500,0.33112144
0-500,0.33151436
0-500,0.32341576
0-500,0.3205166
0-500,0.3243084
0-500,0.32390594
0-500,0.32706642
0-500,0.33540535
0-500,0.34261894
0-500,0.34168434
0-500,0.33884048
0-500,0.34026718
0-500,0.34132767
0-500,0.34944916
0-500,0.34766388
0-500,0.35204887
0-500,0.3472519
0-500,0.3416996
0-500,0.33808327
0-500,0.34199333
0-500,0.34290504
0-500,0.34370422
0-500,0.34018517
0-500,0.3417492
0-500,0.3377571
0-500,0.33654022
0-500,0.33629227
0-500,0.33498573
0-500,0.33906555
0-500,0.344347
0-500,0.3383789
0-500,0.34502602
0-500,0.3530445
0-500,0.3507347
0-500,0.3545246
0-500,0.3520317
0-500,0.3513031
0-500,0.35433006
0-500,0.35315132
0-500,0.35832024
0-500,0.36483955
0-500,0.3674698
0-500,0.37011528
0-500,0.37914848
0-500,0.3900795
0-500,0.39222336
0-500,0.39839554
0-500,0.4064808
0-500,0.40636253
0-500,0.40603447
0-500,0.40582848
0-500,0.39362526
0-500,0.39666367
0-500,0.40208626
0-500,0.40423203
0-500,0.40168762
0-500,0.40057755
0-500,0.40089226
0-500,0.40135002
0-500,0.4110775
0-500,0.41931534
0-500,0.4205475
0-500,0.4217472
0-500,0.4228077
0-500,0.42371368
0-500,0.42487144
0-500,0.42177582
0-500,0.42056847
0-500,0.42469788
0-500,0.42001534
0-500,0.41833115
0-500,0.4201641
0-500,0.419281
0-500,0.42720032
0-500,0.4342842
0-500,0.43833733
0-500,0.43628693
