Elevation Zone,Value
0-500,0.058529854
0-500,0.061618805
0-500,0.082818985
0-500,0.09439659
0-500,0.09382343
0-500,0.08907032
0-500,0.08272457
0-500,0.07495308
0-500,0.061074257
0-500,0.046266556
0-500,0.046883583
0-500,0.04989052
0-500,0.05422783
0-500,0.049340248
0-500,0.043190956
0-500,0.039185524
0-500,0.0329628
0-500,0.03191185
0-500,0.029073715
0-500,0.031041145
0-500,0.03513241
0-500,0.03351116
0-500,0.028951645
0-500,0.021790504
0-500,0.015954018
0-500,0.02115345
0-500,0.024799347
0-500,0.018859863
0-500,0.017129898
0-500,0.020189285
0-500,0.01988411
0-500,0.015419006
0-500,0.017184258
0-500,0.018465042
0-500,0.013965607
0-500,0.008090019
0-500,0.01515007
0-500,0.0055675507
0-500,-0.0053215027
0-500,-0.009278297
0-500,-0.012882233
0-500,0.00029945374
0-500,0.015378952
0-500,0.033735275
0-500,0.060534477
0-500,0.07375717
0-500,0.08244991
0-500,0.09237671
0-500,0.09369755
0-500,0.09620857
0-500,0.10710716
0-500,0.11682987
0-500,0.11723423
0-500,0.118925095
0-500,0.12144852
0-500,0.13679123
0-500,0.15782928
0-500,0.16814327
0-500,0.17770004
0-500,0.1874733
0-500,0.1894188
0-500,0.19329739
0-500,0.19752884
0-500,0.20375633
0-500,0.2087555
0-500,0.21162605
0-500,0.21559906
0-500,0.2236023
0-500,0.2294712
0-500,0.23675537
0-500,0.24993134
0-500,0.26491165
0-500,0.27788734
0-500,0.29070473
0-500,0.29865265
0-500,0.3060074
0-500,0.3164959
0-500,0.32724953
0-500,0.32870674
0-500,0.3274212
0-500,0.32436562
0-500,0.32346725
0-500,0.31624413
0-500,0.30750847
0-500,0.30038834
0-500,0.29844284
0-500,0.3009472
0-500,0.30176926
0-500,0.30818272
0-500,0.3068285
0-500,0.30913162
0-500,0.37784386
0-500,0.3878498
0-500,0.4017601
0-500,0.40501404
0-500,0.41430473
0-500,0.42277908
0-500,0.42425346
0-500,0.4196167
0-500,0.41941452
0-500,0.4225464
0-500,0.42324448
0-500,0.42030716
0-500,0.423975
0-500,0.4310093
0-500,0.43200302
0-500,0.43061447
0-500,0.4275074
0-500,0.41707802
0-500,0.40776634
0-500,0.39719772
0-500,0.3958969
0-500,0.39398575
0-500,0.39155388
0-500,0.38754845
0-500,0.3799553
0-500,0.3791046
0-500,0.3820896
0-500,0.37888908
0-500,0.37966728
0-500,0.37947655
0-500,0.37968254
0-500,0.38365936
0-500,0.3918438
0-500,0.4001789
0-500,0.40631294
0-500,0.39244843
0-500,0.38451767
0-500,0.39356804
0-500,0.38572884
0-500,0.37433815
0-500,0.36390305
0-500,0.34928894
0-500,0.34142685
0-500,0.32931328
0-500,0.31900978
0-500,0.32394218
0-500,0.33712196
0-500,0.34232903
0-500,0.35229683
0-500,0.36040497
0-500,0.36945724
0-500,0.3757534
0-500,0.37626076
0-500,0.37176704
0-500,0.35070038
0-500,0.3437214
0-500,0.3389492
0-500,0.33568954
0-500,0.33005905
0-500,0.3241272
0-500,0.32755852
0-500,0.33560753
0-500,0.33756256
0-500,0.33641815
0-500,0.3377304
0-500,0.344244
0-500,0.3538723
0-500,0.36219406
0-500,0.36066246
