daily_statistic,percentile,baseline_A,baseline_B,filename,LC_code,LC_name,Elevation,count,mean,median,std
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,0_500,373,0.3007160779937662,0.3207435607910156,0.08476782011488387
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,500_1000,259,0.26137829563332343,0.2929801940917969,0.07758880912555524
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,1000_1500,251,0.30828841084028147,0.3170928955078125,0.0841627042757692
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,1,ENF,1500_2000,108,0.28552555154871057,0.2823143005371094,0.04726330377321848
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,2,EBF,0_500,134,0.14116301465390332,0.11586380004882812,0.07944427937415986
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,2,EBF,500_1000,23,0.16538553652556046,0.142913818359375,0.06280738453840205
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,2,EBF,1000_1500,1,0.11799049377441406,0.11799049377441406,0.0
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,0_500,1278,0.32776083744747536,0.32181644439697266,0.07863970825053106
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,500_1000,1276,0.3080114653117978,0.3062009811401367,0.08231962242193593
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,1000_1500,361,0.2887265715242423,0.2912883758544922,0.07405245731138428
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,4,DBF,1500_2000,7,0.3049039840698242,0.2722005844116211,0.08723831760431519
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,0_500,1403,0.3441404171357049,0.32707786560058594,0.07715739915507427
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,500_1000,1186,0.3146427132025939,0.3130354881286621,0.05624402924327903
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,1000_1500,599,0.31653569178509594,0.32310009002685547,0.06654405948508024
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,5,MF,1500_2000,49,0.2986466154760244,0.32035064697265625,0.06355727540530592
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,6,Closed Shrub,500_1000,1,0.3731231689453125,0.3731231689453125,0.0
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,0_500,614,0.22203745205161626,0.21343708038330078,0.08537765716958978
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,500_1000,1188,0.21554752632423682,0.2097454071044922,0.10542336064907232
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,1000_1500,968,0.15044233030524135,0.12683868408203125,0.08039452851621297
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,1500_2000,293,0.20133595255047795,0.20391082763671875,0.04309878677323828
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,2000_2500,56,0.19980907440185547,0.20596694946289062,0.036643284887155084
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,7,Open Shrub,2500_3500,6,0.2183691660563151,0.21677303314208984,0.022284954700051103
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,8,Woody Savanna,0_500,1505,0.2746126694536684,0.2585926055908203,0.11223270732977857
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,8,Woody Savanna,500_1000,1206,0.24377721182347134,0.24643230438232422,0.08028379481993855
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,8,Woody Savanna,1000_1500,559,0.2874257065529047,0.29240989685058594,0.07352549964345592
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,8,Woody Savanna,1500_2000,72,0.2911393774880303,0.3019108772277832,0.057266548615997885
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,9,Savanna,0_500,4104,0.26648086809043064,0.27172183990478516,0.10236316767321858
daily_maximum,p90,1981_2020,1981_2010,p90_1981_2020_minus_1981_2010_daily_maximum_baseline.tif,9,Savanna,500_1000,1843,0.2676770949712992,0.27693748474121094,0.08584758198281928
