percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p95,1981_2020,1,ENF,0_500,373,0.2951407394204638,0.3278007507324219,0.08803398614776145
p95,1981_2020,1,ENF,500_1000,259,0.26159704421938157,0.2866535186767578,0.09277931690843758
p95,1981_2020,1,ENF,1000_1500,251,0.3129181690899974,0.3398876190185547,0.10407290606689432
p95,1981_2020,1,ENF,1500_2000,108,0.30633027465255175,0.31067800521850586,0.0708249857500171
p95,1981_2020,2,EBF,0_500,134,0.14064346142669223,0.13405704498291016,0.09119605724075458
p95,1981_2020,2,EBF,500_1000,23,0.15741240459939707,0.1786479949951172,0.06604756069392988
p95,1981_2020,2,EBF,1000_1500,1,0.1330718994140625,0.1330718994140625,0.0
p95,1981_2020,4,DBF,0_500,1278,0.3345867292795196,0.3377838134765625,0.09628176805536223
p95,1981_2020,4,DBF,500_1000,1276,0.3095692497062085,0.30942440032958984,0.10069988251600186
p95,1981_2020,4,DBF,1000_1500,361,0.2869590669457602,0.2915496826171875,0.0869684483911593
p95,1981_2020,4,DBF,1500_2000,7,0.3065374919346401,0.29296875,0.1015864720703272
p95,1981_2020,5,MF,0_500,1403,0.3695041237774697,0.36833763122558594,0.055136231838147205
p95,1981_2020,5,MF,500_1000,1186,0.3228108082814723,0.3269615173339844,0.06551528790101133
p95,1981_2020,5,MF,1000_1500,599,0.3244310898056412,0.3335075378417969,0.08217314617911052
p95,1981_2020,5,MF,1500_2000,49,0.323914216489208,0.3378133773803711,0.07702303002485603
p95,1981_2020,6,Closed Shrub,500_1000,1,0.4373817443847656,0.4373817443847656,0.0
p95,1981_2020,7,Open Shrub,0_500,614,0.22752441567784412,0.21130943298339844,0.09220891682566448
p95,1981_2020,7,Open Shrub,500_1000,1188,0.22333365578442713,0.22567462921142578,0.13605013077292266
p95,1981_2020,7,Open Shrub,1000_1500,968,0.15555152026089755,0.12679004669189453,0.09761026393390147
p95,1981_2020,7,Open Shrub,1500_2000,293,0.2226871386322959,0.21858596801757812,0.05024902357553282
p95,1981_2020,7,Open Shrub,2000_2500,56,0.2233513423374721,0.22984981536865234,0.042098632726036485
p95,1981_2020,7,Open Shrub,2500_3500,6,0.240721066792806,0.2315521240234375,0.021556621310631793
p95,1981_2020,8,Woody Savanna,0_500,1505,0.2690957497124656,0.257415771484375,0.1082393961531627
p95,1981_2020,8,Woody Savanna,500_1000,1206,0.2491556882462889,0.24245834350585938,0.09125016125739976
p95,1981_2020,8,Woody Savanna,1000_1500,559,0.29837452917491386,0.30892372131347656,0.08747778474005277
p95,1981_2020,8,Woody Savanna,1500_2000,72,0.3208155896928575,0.33417320251464844,0.06875821144094485
p95,1981_2020,9,Savanna,0_500,4104,0.2814445332941721,0.2905158996582031,0.10330695193725901
p95,1981_2020,9,Savanna,500_1000,1843,0.274149447631008,0.28482818603515625,0.1031077974210294
p95,1981_2020,9,Savanna,1000_1500,493,0.2966746297375909,0.31261444091796875,0.11859939831053216
p95,1981_2020,9,Savanna,1500_2000,20,0.2855919361114502,0.28085994720458984,0.10736169964208378
p95,1981_2020,9,Savanna,2000_2500,1,0.3337574005126953,0.3337574005126953,0.0
p95,1981_2020,10,Grass,0_500,2158,0.2512500725817747,0.24294185638427734,0.10765729781025989
p95,1981_2020,10,Grass,500_1000,2042,0.2584198747162254,0.26719188690185547,0.10533551315336113
p95,1981_2020,10,Grass,1000_1500,1998,0.2775238039973262,0.28112125396728516,0.10142438746417881
p95,1981_2020,10,Grass,1500_2000,1126,0.27866804324500727,0.2771272659301758,0.08292312085779639
p95,1981_2020,10,Grass,2000_2500,452,0.2853879759796953,0.28821611404418945,0.07196914563366602
p95,1981_2020,10,Grass,2500_3500,97,0.2701865422356989,0.2621307373046875,0.06534236175773765
p95,1981_2020,11,Wetland,0_500,11,0.32357025146484375,0.29900360107421875,0.0574033980346184
p95,1981_2020,11,Wetland,500_1000,1,0.3629608154296875,0.3629608154296875,0.0
p95,1981_2020,12,Cropland,0_500,19968,0.31955041258763045,0.33646202087402344,0.09963068302521993
p95,1981_2020,12,Cropland,500_1000,2714,0.2614602346848985,0.2836484909057617,0.12391743054590768
p95,1981_2020,12,Cropland,1000_1500,809,0.22842703584687524,0.2196636199951172,0.09867613194926969
p95,1981_2020,12,Cropland,1500_2000,42,0.3058359736487979,0.30367517471313477,0.08026789150029502
p95,1981_2020,12,Cropland,2000_2500,2,0.25431394577026367,0.25431394577026367,0.05280256271362305
p95,1981_2020,13,Urban,0_500,825,0.31007634249600496,0.3269004821777344,0.08453504126040941
p95,1981_2020,13,Urban,500_1000,56,0.28087711334228516,0.2892484664916992,0.08131483369517127
p95,1981_2020,13,Urban,1000_1500,6,0.2094736099243164,0.20248889923095703,0.08549342904035781
p95,1981_2020,14,Crop/Nat Mosaic,0_500,996,0.23947515449370724,0.22974586486816406,0.08257175261255222
p95,1981_2020,14,Crop/Nat Mosaic,500_1000,72,0.26735168033176,0.25986766815185547,0.0754931678973816
p95,1981_2020,14,Crop/Nat Mosaic,1000_1500,4,0.35147714614868164,0.34580135345458984,0.02020752399546781
p95,1981_2020,15,Snow/Ice,2000_2500,1,0.32114601135253906,0.32114601135253906,0.0
p95,1981_2020,15,Snow/Ice,2500_3500,3,0.33095359802246094,0.3289604187011719,0.053207794796687885
p95,1981_2020,16,Barren,0_500,6734,0.14425119887766372,0.14165306091308594,0.044370431323603694
p95,1981_2020,16,Barren,500_1000,3864,0.17072278619059372,0.15884971618652344,0.06160544218231324
p95,1981_2020,16,Barren,1000_1500,989,0.1720398824786272,0.18136978149414062,0.049858154671221684
p95,1981_2020,16,Barren,1500_2000,63,0.22780811975872706,0.2410259246826172,0.05229742281258687
p95,1981_2020,16,Barren,2000_2500,25,0.24963487625122072,0.23667335510253906,0.041337922940582625
p95,1981_2020,16,Barren,2500_3500,34,0.3122685095843147,0.3128376007080078,0.06865880241071273
p95,1981_2020,17,Water,0_500,1532,0.2375933308514229,0.23441696166992188,0.09629435540841788
p95,1981_2020,17,Water,500_1000,43,0.224106278530387,0.22664451599121094,0.07818443650859554
p95,1981_2020,17,Water,1000_1500,9,0.20315106709798178,0.2095050811767578,0.011174549084802995
p95,1991_2020,1,ENF,0_500,373,0.44746023080943415,0.48809814453125,0.1255758170746082
p95,1991_2020,1,ENF,500_1000,259,0.4021886840290084,0.43768882751464844,0.11888279870147078
p95,1991_2020,1,ENF,1000_1500,251,0.47402131889920784,0.5001993179321289,0.1262959901223757
p95,1991_2020,1,ENF,1500_2000,108,0.4609538360878273,0.47569704055786133,0.08706475529092988
p95,1991_2020,2,EBF,0_500,134,0.18736862068745627,0.16610336303710938,0.13133511577853263
p95,1991_2020,2,EBF,500_1000,23,0.23014474951702615,0.23025894165039062,0.06990604071416603
p95,1991_2020,2,EBF,1000_1500,1,0.22289657592773438,0.22289657592773438,0.0
p95,1991_2020,4,DBF,0_500,1278,0.5146892193897229,0.5138645172119141,0.12825349527071012
p95,1991_2020,4,DBF,500_1000,1276,0.4703789863466843,0.45409488677978516,0.13453459725143277
p95,1991_2020,4,DBF,1000_1500,361,0.42277135875416594,0.43120384216308594,0.11556041091263626
p95,1991_2020,4,DBF,1500_2000,7,0.4741766793387277,0.4409646987915039,0.16203468496899767
p95,1991_2020,5,MF,0_500,1403,0.5546091342091305,0.5578727722167969,0.07407676968156811
p95,1991_2020,5,MF,500_1000,1186,0.48053241459555407,0.48978137969970703,0.09061804206121381
p95,1991_2020,5,MF,1000_1500,599,0.47415943177594166,0.4790687561035156,0.10102339597326498
p95,1991_2020,5,MF,1500_2000,49,0.44730910476373165,0.46045398712158203,0.10527633280508136
p95,1991_2020,6,Closed Shrub,500_1000,1,0.6307621002197266,0.6307621002197266,0.0
p95,1991_2020,7,Open Shrub,0_500,614,0.3325428419082095,0.312469482421875,0.12030617573455527
p95,1991_2020,7,Open Shrub,500_1000,1188,0.3444596974536626,0.31565380096435547,0.18417766695579335
p95,1991_2020,7,Open Shrub,1000_1500,968,0.23495621917661558,0.1897592544555664,0.1309664106334636
p95,1991_2020,7,Open Shrub,1500_2000,293,0.29841377466611896,0.2859821319580078,0.07263185875975509
p95,1991_2020,7,Open Shrub,2000_2500,56,0.2905327592577253,0.29489898681640625,0.07140620970285226
p95,1991_2020,7,Open Shrub,2500_3500,6,0.3096647262573242,0.29564476013183594,0.03801723662980149
p95,1991_2020,8,Woody Savanna,0_500,1505,0.3976866763295525,0.3967571258544922,0.16095490624286782
p95,1991_2020,8,Woody Savanna,500_1000,1206,0.3664775551057376,0.3627147674560547,0.12727831777156157
p95,1991_2020,8,Woody Savanna,1000_1500,559,0.43398401093184413,0.4407691955566406,0.12273224340922517
p95,1991_2020,8,Woody Savanna,1500_2000,72,0.44667324754926896,0.4811825752258301,0.10455665711448138
p95,1991_2020,9,Savanna,0_500,4104,0.41264303850616396,0.41331005096435547,0.1567607390363786
p95,1991_2020,9,Savanna,500_1000,1843,0.4049963017099911,0.41037940979003906,0.13318746422304545
p95,1991_2020,9,Savanna,1000_1500,493,0.427800459020278,0.4266777038574219,0.1452498508427496
p95,1991_2020,9,Savanna,1500_2000,20,0.4073055267333984,0.3643522262573242,0.13795080475732494
p95,1991_2020,9,Savanna,2000_2500,1,0.45183753967285156,0.45183753967285156,0.0
p95,1991_2020,10,Grass,0_500,2158,0.3822643728141325,0.3564004898071289,0.1601164485081154
p95,1991_2020,10,Grass,500_1000,2042,0.401881810149997,0.4106435775756836,0.13918621804116474
p95,1991_2020,10,Grass,1000_1500,1998,0.4655100600020186,0.47856998443603516,0.12827124238300616
p95,1991_2020,10,Grass,1500_2000,1126,0.4475123365649533,0.4602932929992676,0.10376361122629069
p95,1991_2020,10,Grass,2000_2500,452,0.38591437951653407,0.3787198066711426,0.09500617728578002
p95,1991_2020,10,Grass,2500_3500,97,0.34044462380949986,0.3291664123535156,0.08783686926837
p95,1991_2020,11,Wetland,0_500,11,0.5229689858176492,0.5207786560058594,0.08696167073073671
p95,1991_2020,11,Wetland,500_1000,1,0.6151542663574219,0.6151542663574219,0.0
p95,1991_2020,12,Cropland,0_500,19968,0.4941292336353889,0.5138797760009766,0.14323804993010456
p95,1991_2020,12,Cropland,500_1000,2714,0.4035410417206778,0.4350099563598633,0.16151628226563966
p95,1991_2020,12,Cropland,1000_1500,809,0.42065186376772057,0.44115447998046875,0.1310367819972145
p95,1991_2020,12,Cropland,1500_2000,42,0.5410687128702799,0.5225825309753418,0.12892875013173932
p95,1991_2020,12,Cropland,2000_2500,2,0.40964460372924805,0.40964460372924805,0.11520147323608398
p95,1991_2020,13,Urban,0_500,825,0.48077741680723246,0.5017147064208984,0.12162117963224385
p95,1991_2020,13,Urban,500_1000,56,0.47086541993277414,0.46228885650634766,0.11310081680155183
p95,1991_2020,13,Urban,1000_1500,6,0.4099556605021159,0.4310178756713867,0.0866764187505644
p95,1991_2020,14,Crop/Nat Mosaic,0_500,996,0.33294242069903146,0.3206443786621094,0.13558421615364696
p95,1991_2020,14,Crop/Nat Mosaic,500_1000,72,0.39975590176052517,0.3677396774291992,0.09797558233315425
p95,1991_2020,14,Crop/Nat Mosaic,1000_1500,4,0.5699095726013184,0.5802364349365234,0.07603781715028876
p95,1991_2020,15,Snow/Ice,2000_2500,1,0.41521453857421875,0.41521453857421875,0.0
p95,1991_2020,15,Snow/Ice,2500_3500,3,0.402987798055013,0.40047550201416016,0.08996931915415561
p95,1991_2020,16,Barren,0_500,6734,0.29398160763936826,0.29226112365722656,0.06775027550989862
p95,1991_2020,16,Barren,500_1000,3864,0.29725334116143964,0.24670124053955078,0.11334697863777496
p95,1991_2020,16,Barren,1000_1500,989,0.2428770788518676,0.24434852600097656,0.07836960095170742
p95,1991_2020,16,Barren,1500_2000,63,0.2952493940080915,0.30438232421875,0.07402409251162388
p95,1991_2020,16,Barren,2000_2500,25,0.3004494285583496,0.2797050476074219,0.06369488787278456
p95,1991_2020,16,Barren,2500_3500,34,0.39577186808866616,0.39573240280151367,0.10690836927855632
p95,1991_2020,17,Water,0_500,1532,0.37708424463595797,0.3742208480834961,0.14529373991867678
p95,1991_2020,17,Water,500_1000,43,0.3752648109613463,0.39912986755371094,0.09770111316780557
p95,1991_2020,17,Water,1000_1500,9,0.39069578382703996,0.38300514221191406,0.025165949997375595
p97,1981_2020,1,ENF,0_500,373,0.28724941938875825,0.3164405822753906,0.09175035609541993
p97,1981_2020,1,ENF,500_1000,259,0.25625678102942506,0.2875823974609375,0.09634756571113115
p97,1981_2020,1,ENF,1000_1500,251,0.30935722518252184,0.3401813507080078,0.11136643328086056
p97,1981_2020,1,ENF,1500_2000,108,0.3144230136164912,0.33010149002075195,0.08182117885180436
