percentile,baseline,top_frac,LC_code,LC_name,count,fraction
p95,1981_2020,0.05,1,ENF,17,0.005043013942450311
p95,1981_2020,0.05,4,DBF,359,0.10649658854939187
p95,1981_2020,0.05,5,MF,206,0.06110946306733907
p95,1981_2020,0.05,7,Open Shrub,115,0.03411450608128152
p95,1981_2020,0.05,8,Woody Savanna,166,0.04924354790863245
p95,1981_2020,0.05,9,Savanna,329,0.09759715218036191
p95,1981_2020,0.05,10,Grass,297,0.08810442005339662
p95,1981_2020,0.05,11,Wetland,5,0.0014832393948383269
p95,1981_2020,0.05,12,Cropland,1791,0.5312963512310886
p95,1981_2020,0.05,13,Urban,23,0.006822901216256304
p95,1981_2020,0.05,14,Crop/Nat Mosaic,20,0.0059329575793533075
p95,1981_2020,0.05,16,Barren,3,0.0008899436369029962
p95,1981_2020,0.05,17,Water,40,0.011865915158706615
p95,1981_2020,0.1,1,ENF,64,0.009492732126965293
p95,1981_2020,0.1,4,DBF,564,0.08365470186888163
p95,1981_2020,0.1,5,MF,422,0.0625927024621774
p95,1981_2020,0.1,6,Closed Shrub,1,0.0001483239394838327
p95,1981_2020,0.1,7,Open Shrub,214,0.03174132304954019
p95,1981_2020,0.1,8,Woody Savanna,305,0.04523880154256897
p95,1981_2020,0.1,9,Savanna,613,0.09092257490358945
p95,1981_2020,0.1,10,Grass,582,0.08632453277959062
p95,1981_2020,0.1,11,Wetland,6,0.0008899436369029962
p95,1981_2020,0.1,12,Cropland,3794,0.5627410264016612
p95,1981_2020,0.1,13,Urban,69,0.010234351824384456
p95,1981_2020,0.1,14,Crop/Nat Mosaic,45,0.006674577276772471
p95,1981_2020,0.1,16,Barren,3,0.0004449718184514981
p95,1981_2020,0.1,17,Water,60,0.008899436369029961
p95,1991_2020,0.05,1,ENF,8,0.002373183031741323
p95,1991_2020,0.05,4,DBF,297,0.08810442005339662
p95,1991_2020,0.05,5,MF,116,0.034411153960249186
p95,1991_2020,0.05,7,Open Shrub,72,0.021358647285671908
p95,1991_2020,0.05,8,Woody Savanna,110,0.03263126668644319
p95,1991_2020,0.05,9,Savanna,278,0.08246811035301098
p95,1991_2020,0.05,10,Grass,254,0.07534856125778701
p95,1991_2020,0.05,11,Wetland,6,0.0017798872738059924
p95,1991_2020,0.05,12,Cropland,2135,0.6333432215959656
p95,1991_2020,0.05,13,Urban,34,0.010086027884900622
p95,1991_2020,0.05,14,Crop/Nat Mosaic,13,0.00385642242657965
p95,1991_2020,0.05,16,Barren,2,0.0005932957579353308
p95,1991_2020,0.05,17,Water,46,0.013645802432512608
p95,1991_2020,0.1,1,ENF,24,0.0035592466261308024
p95,1991_2020,0.1,4,DBF,553,0.0820109743437639
p95,1991_2020,0.1,5,MF,280,0.04152454397152603
p95,1991_2020,0.1,6,Closed Shrub,1,0.00014830194275545008
p95,1991_2020,0.1,7,Open Shrub,125,0.01853774284443126
p95,1991_2020,0.1,8,Woody Savanna,250,0.03707548568886252
p95,1991_2020,0.1,9,Savanna,526,0.07800682188936675
p95,1991_2020,0.1,10,Grass,565,0.08379059765682931
p95,1991_2020,0.1,11,Wetland,6,0.0008898116565327006
p95,1991_2020,0.1,12,Cropland,4224,0.6264274061990212
p95,1991_2020,0.1,13,Urban,78,0.011567551534925108
p95,1991_2020,0.1,14,Crop/Nat Mosaic,30,0.0044490582826635025
p95,1991_2020,0.1,16,Barren,11,0.0016313213703099511
p95,1991_2020,0.1,17,Water,70,0.010381135992881508
p97,1981_2020,0.05,1,ENF,19,0.005636309700385643
p97,1981_2020,0.05,4,DBF,318,0.09433402551171759
p97,1981_2020,0.05,5,MF,209,0.06199940670424207
p97,1981_2020,0.05,6,Closed Shrub,1,0.0002966478789676654
p97,1981_2020,0.05,7,Open Shrub,215,0.06377929397804806
p97,1981_2020,0.05,8,Woody Savanna,116,0.034411153960249186
p97,1981_2020,0.05,9,Savanna,329,0.09759715218036191
p97,1981_2020,0.05,10,Grass,452,0.13408484129338474
p97,1981_2020,0.05,11,Wetland,5,0.0014832393948383269
p97,1981_2020,0.05,12,Cropland,1613,0.4784930287748443
p97,1981_2020,0.05,13,Urban,22,0.006526253337288638
p97,1981_2020,0.05,14,Crop/Nat Mosaic,25,0.007416196974191634
p97,1981_2020,0.05,16,Barren,4,0.0011865915158706616
p97,1981_2020,0.05,17,Water,43,0.012755858795609611
p97,1981_2020,0.1,1,ENF,68,0.010086027884900622
p97,1981_2020,0.1,4,DBF,614,0.09107089884307328
p97,1981_2020,0.1,5,MF,504,0.07475526549985168
p97,1981_2020,0.1,6,Closed Shrub,1,0.0001483239394838327
p97,1981_2020,0.1,7,Open Shrub,283,0.04197567487392465
p97,1981_2020,0.1,8,Woody Savanna,226,0.033521210323346186
p97,1981_2020,0.1,9,Savanna,705,0.10456837733610205
p97,1981_2020,0.1,10,Grass,822,0.12192227825571048
p97,1981_2020,0.1,11,Wetland,5,0.0007416196974191634
p97,1981_2020,0.1,12,Cropland,3296,0.48887570453871254
p97,1981_2020,0.1,13,Urban,100,0.014832393948383269
p97,1981_2020,0.1,14,Crop/Nat Mosaic,48,0.0071195490952239695
p97,1981_2020,0.1,15,Snow/Ice,1,0.0001483239394838327
p97,1981_2020,0.1,16,Barren,7,0.0010382675763868287
p97,1981_2020,0.1,17,Water,62,0.009196084247997626
p97,1991_2020,0.05,1,ENF,10,0.0029664787896766538
p97,1991_2020,0.05,4,DBF,258,0.07653515277365767
p97,1991_2020,0.05,5,MF,146,0.04331059032927915
p97,1991_2020,0.05,7,Open Shrub,144,0.042717294571343815
p97,1991_2020,0.05,8,Woody Savanna,93,0.027588252743992882
p97,1991_2020,0.05,9,Savanna,292,0.0866211806585583
p97,1991_2020,0.05,10,Grass,421,0.12488875704538713
p97,1991_2020,0.05,11,Wetland,6,0.0017798872738059924
p97,1991_2020,0.05,12,Cropland,1891,0.5609611391278553
p97,1991_2020,0.05,13,Urban,24,0.0071195490952239695
p97,1991_2020,0.05,14,Crop/Nat Mosaic,17,0.005043013942450311
p97,1991_2020,0.05,16,Barren,14,0.004153070305547315
p97,1991_2020,0.05,17,Water,55,0.016315633343221597
p97,1991_2020,0.1,1,ENF,44,0.006526253337288638
p97,1991_2020,0.1,4,DBF,504,0.07475526549985168
p97,1991_2020,0.1,5,MF,321,0.0476119845743103
p97,1991_2020,0.1,6,Closed Shrub,1,0.0001483239394838327
p97,1991_2020,0.1,7,Open Shrub,223,0.03307623850489469
p97,1991_2020,0.1,8,Woody Savanna,200,0.029664787896766538
p97,1991_2020,0.1,9,Savanna,562,0.08335805398991397
p97,1991_2020,0.1,10,Grass,741,0.10990803915752002
p97,1991_2020,0.1,11,Wetland,7,0.0010382675763868287
p97,1991_2020,0.1,12,Cropland,3911,0.5800949273212697
p97,1991_2020,0.1,13,Urban,90,0.013349154553544943
p97,1991_2020,0.1,14,Crop/Nat Mosaic,31,0.004598042123998813
p97,1991_2020,0.1,16,Barren,24,0.0035597745476119848
p97,1991_2020,0.1,17,Water,83,0.012310886977158113
p99,1981_2020,0.05,1,ENF,29,0.008602788490062296
p99,1981_2020,0.05,4,DBF,103,0.030554731533669534
p99,1981_2020,0.05,5,MF,171,0.05072678730347078
p99,1981_2020,0.05,6,Closed Shrub,1,0.0002966478789676654
p99,1981_2020,0.05,7,Open Shrub,201,0.05962622367250074
p99,1981_2020,0.05,8,Woody Savanna,62,0.018392168495995252
p99,1981_2020,0.05,9,Savanna,470,0.13942450311480273
p99,1981_2020,0.05,10,Grass,619,0.18362503708098488
p99,1981_2020,0.05,11,Wetland,6,0.0017798872738059924
p99,1981_2020,0.05,12,Cropland,1618,0.4799762681696826
p99,1981_2020,0.05,13,Urban,30,0.008899436369029961
