Elevation Zone,Value
0-500,0.054445267
0-500,0.053741455
0-500,0.06785774
0-500,0.066596985
0-500,0.056526184
0-500,0.05342865
0-500,0.053113937
0-500,0.04701042
0-500,0.03315735
0-500,0.034023285
0-500,0.03541565
0-500,0.037273407
0-500,0.05547142
0-500,0.05809784
0-500,0.051038742
0-500,0.051303864
0-500,0.051851273
0-500,0.052103043
0-500,0.044589996
0-500,0.043403625
0-500,0.04419136
0-500,0.04472351
0-500,0.041960716
0-500,0.04153061
0-500,0.036071777
0-500,0.03563404
0-500,0.040896416
0-500,0.08692074
0-500,0.089304924
0-500,0.097094536
0-500,0.10454178
0-500,0.11446762
0-500,0.12701035
0-500,0.12714005
0-500,0.12330818
0-500,0.13354492
0-500,0.13565636
0-500,0.1288948
0-500,0.1342125
0-500,0.13632202
0-500,0.12955475
0-500,0.12862968
0-500,0.13007545
0-500,0.12652397
0-500,0.11785889
0-500,0.12164879
0-500,0.12725067
0-500,0.12791824
0-500,0.1266079
0-500,0.12668228
0-500,0.12952423
0-500,0.1424923
0-500,0.1445198
0-500,0.1477356
0-500,0.14873695
0-500,0.15660667
0-500,0.15716171
0-500,0.15202332
0-500,0.16012955
0-500,0.17118073
0-500,0.17297173
0-500,0.170475
0-500,0.17026138
0-500,0.17224312
0-500,0.17648506
0-500,0.18365479
0-500,0.17992401
0-500,0.17808723
0-500,0.18226814
0-500,0.18667793
0-500,0.18929291
0-500,0.19376373
0-500,0.19741058
0-500,0.2021923
0-500,0.20646858
0-500,0.21076202
0-500,0.21185684
0-500,0.21194267
0-500,0.20759964
0-500,0.20391655
0-500,0.20419121
0-500,0.19953918
0-500,0.18291473
0-500,0.15616989
0-500,0.14915466
0-500,0.14494324
0-500,0.14396477
0-500,0.14153671
0-500,0.13670349
0-500,0.13569069
0-500,0.14292717
0-500,0.2304802
0-500,0.24113083
0-500,0.26063538
0-500,0.26475334
0-500,0.2702961
0-500,0.2738533
0-500,0.27093887
0-500,0.26795387
0-500,0.26104927
0-500,0.25170517
0-500,0.2503128
0-500,0.2601986
0-500,0.26576424
0-500,0.2655487
0-500,0.2730446
0-500,0.27252388
0-500,0.2753811
0-500,0.27962685
0-500,0.2835064
0-500,0.28420258
0-500,0.28899956
0-500,0.28790855
0-500,0.29730606
0-500,0.30632782
0-500,0.31172562
0-500,0.31780624
0-500,0.3275547
0-500,0.32961273
0-500,0.3322525
0-500,0.33195496
0-500,0.331604
0-500,0.3373947
0-500,0.33667183
0-500,0.33011818
0-500,0.33358192
0-500,0.32860565
0-500,0.3296299
0-500,0.3322239
0-500,0.33797264
0-500,0.3365841
0-500,0.33433533
0-500,0.3417244
0-500,0.34296417
0-500,0.3445511
0-500,0.34363365
0-500,0.34807014
0-500,0.34716225
0-500,0.3461151
0-500,0.3445301
0-500,0.35202217
0-500,0.35383224
0-500,0.35729218
0-500,0.35196304
0-500,0.35108948
0-500,0.35276031
0-500,0.34724426
0-500,0.35387802
0-500,0.37213516
0-500,0.3728485
0-500,0.3681717
0-500,0.35927582
0-500,0.3540306
0-500,0.3459072
0-500,0.34363747
0-500,0.3383751
0-500,0.33787727
0-500,0.34690285
0-500,0.34604454
0-500,0.3420143
0-500,0.344059
0-500,0.34334373
0-500,0.3495865
0-500,0.35692787
0-500,0.35869598
0-500,0.35938644
0-500,0.3667431
0-500,0.37152672
0-500,0.37457275
0-500,0.37721634
0-500,0.37836647
0-500,0.37805748
0-500,0.37483025
0-500,0.368248
0-500,0.357996
0-500,0.35047913
0-500,0.3354683
0-500,0.31893158
0-500,0.3068657
0-500,0.2989483
0-500,0.2971344
0-500,0.29637718
0-500,0.29520798
0-500,0.30444527
0-500,0.31350136
0-500,0.3191948
0-500,0.3166237
0-500,0.31737137
0-500,0.32065773
0-500,0.31996918
0-500,0.32533646
0-500,0.3265953
