percentile,baseline,LC_code,LC_name,Elevation,count,mean,median,std
p95,1981_2020,1,ENF,0_500,373,0.24603400856815777,0.2633228302001953,0.06895552174469308
p95,1981_2020,1,ENF,500_1000,259,0.21543349630584127,0.23520946502685547,0.06601765722363366
p95,1981_2020,1,ENF,1000_1500,251,0.2687207370165335,0.27701663970947266,0.07001126748610044
p95,1981_2020,1,ENF,1500_2000,108,0.2521804615303322,0.25673747062683105,0.04616959033046299
p95,1981_2020,2,EBF,0_500,134,0.13027321402706318,0.0914154052734375,0.07462209238540939
p95,1981_2020,2,EBF,500_1000,23,0.14244278617527173,0.15218734741210938,0.057761506139283054
p95,1981_2020,2,EBF,1000_1500,1,0.06571197509765625,0.06571197509765625,0.0
p95,1981_2020,4,DBF,0_500,1278,0.29853204345106144,0.3009200096130371,0.06907028359610246
p95,1981_2020,4,DBF,500_1000,1276,0.2833936554511139,0.2930788993835449,0.07554722444821553
p95,1981_2020,4,DBF,1000_1500,361,0.2693773980285983,0.27698802947998047,0.07031941288707506
p95,1981_2020,4,DBF,1500_2000,7,0.2776543753487723,0.2969474792480469,0.08218332995275128
p95,1981_2020,5,MF,0_500,1403,0.29025619843986655,0.2883882522583008,0.044428977736935854
p95,1981_2020,5,MF,500_1000,1186,0.28067136333523474,0.2894258499145508,0.056400281436107244
p95,1981_2020,5,MF,1000_1500,599,0.29510667606665814,0.3080329895019531,0.06648722371988303
p95,1981_2020,5,MF,1500_2000,49,0.2754181939728406,0.2823009490966797,0.06004602436425095
p95,1981_2020,6,Closed Shrub,500_1000,1,0.3298664093017578,0.3298664093017578,0.0
p95,1981_2020,7,Open Shrub,0_500,614,0.20564224044352478,0.1974773406982422,0.07016793497298658
p95,1981_2020,7,Open Shrub,500_1000,1188,0.20068387632016782,0.2096843719482422,0.09698882441314095
p95,1981_2020,7,Open Shrub,1000_1500,968,0.15014657599866882,0.12502288818359375,0.07250597223139535
p95,1981_2020,7,Open Shrub,1500_2000,293,0.1965263874457558,0.196868896484375,0.04299152657083374
p95,1981_2020,7,Open Shrub,2000_2500,56,0.19254466465541295,0.19507503509521484,0.03512258972668492
p95,1981_2020,7,Open Shrub,2500_3500,6,0.2247441609700521,0.21555852890014648,0.019284990233819035
p95,1981_2020,8,Woody Savanna,0_500,1505,0.23008333694103153,0.24805068969726562,0.08994498753954608
p95,1981_2020,8,Woody Savanna,500_1000,1206,0.2206755079835604,0.22196245193481445,0.08511579892548468
p95,1981_2020,8,Woody Savanna,1000_1500,559,0.25944016188756297,0.26303577423095703,0.07470192500941522
p95,1981_2020,8,Woody Savanna,1500_2000,72,0.26828937398062813,0.28267669677734375,0.059422460137530324
