daily_stat,percentile,baseline,top_frac,LC_code,LC_name,count_hot,fraction_hotspot,fraction_global,enrichment_ratio,difference,reliable
daily_mean,p95,1981_2020,0.05,1,ENF,6,0.0017798872738059924,0.008247845711940911,0.21580026299826882,-0.006467958438134918,False
daily_mean,p95,1981_2020,0.05,4,DBF,473,0.14031444675170573,0.024160853508411982,5.807512002953581,0.11615359324329375,True
daily_mean,p95,1981_2020,0.05,5,MF,190,0.05636309700385642,0.02656544932293804,2.1216692523694487,0.029797647680918384,True
daily_mean,p95,1981_2020,0.05,7,Open Shrub,66,0.019578760011865915,0.025736561345917112,0.7607372153845222,-0.006157801334051197,True
daily_mean,p95,1981_2020,0.05,8,Woody Savanna,111,0.03292791456541086,0.02796060730406237,1.1776537686513981,0.004967307261348489,True
daily_mean,p95,1981_2020,0.05,9,Savanna,358,0.10619994067042421,0.053992613869511694,1.9669346056682155,0.052207326800912515,True
daily_mean,p95,1981_2020,0.05,10,Grass,224,0.06644912488875704,0.06569552728764874,1.0114710640468514,0.0007535976011082968,True
daily_mean,p95,1981_2020,0.05,11,Wetland,2,0.0005932957579353308,0.00019696347968814116,3.0122120043508356,0.0003963322782471896,False
daily_mean,p95,1981_2020,0.05,12,Cropland,1841,0.546128745179472,0.1954616331555191,2.7940457488398476,0.35066711202395284,True
daily_mean,p95,1981_2020,0.05,13,Urban,27,0.008009492732126965,0.007558473533032417,1.059670672540359,0.0004510191990945477,False
daily_mean,p95,1981_2020,0.05,14,Crop/Nat Mosaic,29,0.008602788490062296,0.008961838325810422,0.9599356936942225,-0.0003590498357481254,False
daily_mean,p95,1981_2020,0.05,16,Barren,1,0.0002966478789676654,0.09854739433729996,0.00301020520088358,-0.0982507464583323,False
daily_mean,p95,1981_2020,0.05,17,Water,43,0.012755858795609611,0.45545342634386543,0.02800694441582484,-0.44269756754825584,True
daily_mean,p95,1981_2020,0.1,1,ENF,48,0.0071195490952239695,0.008247845711940911,0.8632010519930753,-0.0011282966167169414,False
daily_mean,p95,1981_2020,0.1,4,DBF,815,0.12088401067932364,0.024160853508411982,5.003300509944153,0.09672315717091165,True
daily_mean,p95,1981_2020,0.1,5,MF,494,0.07327202610501335,0.02656544932293804,2.758170028080283,0.04670657678207531,True
daily_mean,p95,1981_2020,0.1,7,Open Shrub,112,0.01661228122218926,0.025736561345917112,0.6454740009323218,-0.009124280123727853,True
daily_mean,p95,1981_2020,0.1,8,Woody Savanna,274,0.040640759418570156,0.02796060730406237,1.4535005973445183,0.012680152114507785,True
daily_mean,p95,1981_2020,0.1,9,Savanna,722,0.1070898843073272,0.053992613869511694,1.9834172978944855,0.05309727043781551,True
daily_mean,p95,1981_2020,0.1,10,Grass,539,0.07994660338178582,0.06569552728764874,1.2169261239313682,0.014251076094137075,True
daily_mean,p95,1981_2020,0.1,11,Wetland,5,0.0007416196974191634,0.00019696347968814116,3.7652650054385446,0.0005446562177310223,False
daily_mean,p95,1981_2020,0.1,12,Cropland,3510,0.5206170275882528,0.1954616331555191,2.663525415108057,0.32515539443273367,True
daily_mean,p95,1981_2020,0.1,13,Urban,62,0.009196084247997626,0.007558473533032417,1.2166589203241158,0.0016376107149652088,False
daily_mean,p95,1981_2020,0.1,14,Crop/Nat Mosaic,70,0.010382675763868289,0.008961838325810422,1.1585430785964754,0.0014208374380578672,False
daily_mean,p95,1981_2020,0.1,16,Barren,22,0.003263126668644319,0.09854739433729996,0.03311225720971937,-0.09528426766865564,False
daily_mean,p95,1981_2020,0.1,17,Water,69,0.010234351824384456,0.45545342634386543,0.022470687961533883,-0.44521907451948095,True
daily_mean,p95,1991_2020,0.05,1,ENF,8,0.002373183031741323,0.008247845711940911,0.2877336839976918,-0.005874662680199588,False
daily_mean,p95,1991_2020,0.05,4,DBF,366,0.10857312370216553,0.024160853508411982,4.493761930403828,0.08441227019375355,True
daily_mean,p95,1991_2020,0.05,5,MF,99,0.029368140017798874,0.02656544932293804,1.105501347287239,0.0028026906948608356,True
daily_mean,p95,1991_2020,0.05,7,Open Shrub,74,0.021951943043607237,0.025736561345917112,0.8529477869462825,-0.003784618302309875,True
daily_mean,p95,1991_2020,0.05,8,Woody Savanna,75,0.022248590922574904,0.02796060730406237,0.7957120058455392,-0.005712016381487467,True
daily_mean,p95,1991_2020,0.05,9,Savanna,229,0.06793236428359538,0.053992613869511694,1.2581788399386071,0.013939750414083685,True
daily_mean,p95,1991_2020,0.05,10,Grass,322,0.09552061702758825,0.06569552728764874,1.4539896545673492,0.02982508973993951,True
daily_mean,p95,1991_2020,0.05,11,Wetland,7,0.0020765351527736575,0.00019696347968814116,10.542742015227924,0.0018795716730855164,False
daily_mean,p95,1991_2020,0.05,12,Cropland,1875,0.5562147730643726,0.1954616331555191,2.8456468110128816,0.3607531399088535,True
daily_mean,p95,1991_2020,0.05,13,Urban,32,0.009492732126965293,0.007558473533032417,1.2559059822700551,0.0019342585939328754,False
daily_mean,p95,1991_2020,0.05,14,Crop/Nat Mosaic,25,0.007416196974191634,0.008961838325810422,0.8275307704260538,-0.0015456413516187874,False
daily_mean,p95,1991_2020,0.05,16,Barren,207,0.061406110946306734,0.09854739433729996,0.623112476582901,-0.03714128339099323,True
daily_mean,p95,1991_2020,0.05,17,Water,52,0.0154256897063186,0.45545342634386543,0.03386886301448585,-0.44002773663754685,True
daily_mean,p95,1991_2020,0.1,1,ENF,19,0.0028181548501928213,0.008247845711940911,0.34168374974725896,-0.00542969086174809,False
daily_mean,p95,1991_2020,0.1,4,DBF,681,0.10100860278849007,0.024160853508411982,4.180671959842906,0.07684774928007809,True
daily_mean,p95,1991_2020,0.1,5,MF,305,0.04523880154256897,0.02656544932293804,1.7029187420333731,0.018673352219630932,True
daily_mean,p95,1991_2020,0.1,7,Open Shrub,122,0.01809552061702759,0.025736561345917112,0.703105608158422,-0.007641040728889523,True
daily_mean,p95,1991_2020,0.1,8,Woody Savanna,183,0.027143280925541382,0.02796060730406237,0.9707686471315579,-0.000817326378520989,True
daily_mean,p95,1991_2020,0.1,9,Savanna,496,0.07356867398398101,0.053992613869511694,1.3625692240383167,0.019576060114469315,True
daily_mean,p95,1991_2020,0.1,10,Grass,638,0.09463067339068526,0.06569552728764874,1.440443167102436,0.02893514610303652,True
daily_mean,p95,1991_2020,0.1,11,Wetland,10,0.0014832393948383269,0.00019696347968814116,7.530530010877089,0.0012862759151501858,False
daily_mean,p95,1991_2020,0.1,12,Cropland,3536,0.5244734500148324,0.1954616331555191,2.683255232997746,0.32901181685931324,True
daily_mean,p95,1991_2020,0.1,13,Urban,92,0.013645802432512608,0.007558473533032417,1.8053648495132042,0.00608732889948019,False
daily_mean,p95,1991_2020,0.1,14,Crop/Nat Mosaic,49,0.007267873034707802,0.008961838325810422,0.8109801550175327,-0.0016939652911026198,False
daily_mean,p95,1991_2020,0.1,16,Barren,513,0.07609018095520617,0.09854739433729996,0.7721176340266382,-0.02245721338209379,True
daily_mean,p95,1991_2020,0.1,17,Water,98,0.014535746069415604,0.45545342634386543,0.03191489014826551,-0.44091768027444983,True
daily_mean,p97,1981_2020,0.05,1,ENF,15,0.004449718184514981,0.008247845711940911,0.539500657495672,-0.0037981275274259303,False
daily_mean,p97,1981_2020,0.05,4,DBF,525,0.15574013645802431,0.024160853508411982,6.4459699821366385,0.13157928294961233,True
daily_mean,p97,1981_2020,0.05,5,MF,145,0.04301394245031148,0.02656544932293804,1.6191686399661582,0.016448493127373443,True
daily_mean,p97,1981_2020,0.05,6,Closed Shrub,1,0.0002966478789676654,8.206811653672548e-06,36.14654405221003,0.0002884410673139928,False
daily_mean,p97,1981_2020,0.05,7,Open Shrub,99,0.029368140017798874,0.025736561345917112,1.1411058230767834,0.003631578671881762,True
daily_mean,p97,1981_2020,0.05,8,Woody Savanna,124,0.036784336991990504,0.02796060730406237,1.3155771829979581,0.008823729687928134,True
daily_mean,p97,1981_2020,0.05,9,Savanna,452,0.13408484129338474,0.053992613869511694,2.4833922954246743,0.08009222742387305,True
daily_mean,p97,1981_2020,0.05,10,Grass,298,0.08840106793236428,0.06569552728764874,1.3456177548480437,0.02270554064471554,True
daily_mean,p97,1981_2020,0.05,11,Wetland,4,0.0011865915158706616,0.00019696347968814116,6.024424008701671,0.0009896280361825205,False
daily_mean,p97,1981_2020,0.05,12,Cropland,1584,0.469890240284782,0.1954616331555191,2.4040024259436823,0.27442860712926287,True
