percentile,baseline,top_frac,LC_code,LC_name,count,fraction
p95,1981_2020,0.05,1,ENF,6,0.0017798872738059924
p95,1981_2020,0.05,4,DBF,473,0.14031444675170573
p95,1981_2020,0.05,5,MF,190,0.05636309700385642
p95,1981_2020,0.05,7,Open Shrub,66,0.019578760011865915
p95,1981_2020,0.05,8,Woody Savanna,111,0.03292791456541086
p95,1981_2020,0.05,9,Savanna,358,0.10619994067042421
p95,1981_2020,0.05,10,Grass,224,0.06644912488875704
p95,1981_2020,0.05,11,Wetland,2,0.0005932957579353308
p95,1981_2020,0.05,12,Cropland,1841,0.546128745179472
p95,1981_2020,0.05,13,Urban,27,0.008009492732126965
p95,1981_2020,0.05,14,Crop/Nat Mosaic,29,0.008602788490062296
p95,1981_2020,0.05,16,Barren,1,0.0002966478789676654
p95,1981_2020,0.05,17,Water,43,0.012755858795609611
p95,1981_2020,0.1,1,ENF,48,0.0071195490952239695
p95,1981_2020,0.1,4,DBF,815,0.12088401067932364
p95,1981_2020,0.1,5,MF,494,0.07327202610501335
p95,1981_2020,0.1,7,Open Shrub,112,0.01661228122218926
p95,1981_2020,0.1,8,Woody Savanna,274,0.040640759418570156
p95,1981_2020,0.1,9,Savanna,722,0.1070898843073272
p95,1981_2020,0.1,10,Grass,539,0.07994660338178582
p95,1981_2020,0.1,11,Wetland,5,0.0007416196974191634
p95,1981_2020,0.1,12,Cropland,3510,0.5206170275882528
p95,1981_2020,0.1,13,Urban,62,0.009196084247997626
p95,1981_2020,0.1,14,Crop/Nat Mosaic,70,0.010382675763868289
p95,1981_2020,0.1,16,Barren,22,0.003263126668644319
p95,1981_2020,0.1,17,Water,69,0.010234351824384456
p95,1991_2020,0.05,1,ENF,8,0.002373183031741323
p95,1991_2020,0.05,4,DBF,366,0.10857312370216553
p95,1991_2020,0.05,5,MF,99,0.029368140017798874
p95,1991_2020,0.05,7,Open Shrub,74,0.021951943043607237
p95,1991_2020,0.05,8,Woody Savanna,75,0.022248590922574904
p95,1991_2020,0.05,9,Savanna,229,0.06793236428359538
p95,1991_2020,0.05,10,Grass,322,0.09552061702758825
p95,1991_2020,0.05,11,Wetland,7,0.0020765351527736575
p95,1991_2020,0.05,12,Cropland,1875,0.5562147730643726
p95,1991_2020,0.05,13,Urban,32,0.009492732126965293
p95,1991_2020,0.05,14,Crop/Nat Mosaic,25,0.007416196974191634
p95,1991_2020,0.05,16,Barren,207,0.061406110946306734
p95,1991_2020,0.05,17,Water,52,0.0154256897063186
p95,1991_2020,0.1,1,ENF,19,0.0028181548501928213
p95,1991_2020,0.1,4,DBF,681,0.10100860278849007
p95,1991_2020,0.1,5,MF,305,0.04523880154256897
p95,1991_2020,0.1,7,Open Shrub,122,0.01809552061702759
p95,1991_2020,0.1,8,Woody Savanna,183,0.027143280925541382
p95,1991_2020,0.1,9,Savanna,496,0.07356867398398101
p95,1991_2020,0.1,10,Grass,638,0.09463067339068526
p95,1991_2020,0.1,11,Wetland,10,0.0014832393948383269
p95,1991_2020,0.1,12,Cropland,3536,0.5244734500148324
p95,1991_2020,0.1,13,Urban,92,0.013645802432512608
p95,1991_2020,0.1,14,Crop/Nat Mosaic,49,0.007267873034707802
p95,1991_2020,0.1,16,Barren,513,0.07609018095520617
p95,1991_2020,0.1,17,Water,98,0.014535746069415604
p97,1981_2020,0.05,1,ENF,15,0.004449718184514981
p97,1981_2020,0.05,4,DBF,525,0.15574013645802431
p97,1981_2020,0.05,5,MF,145,0.04301394245031148
p97,1981_2020,0.05,6,Closed Shrub,1,0.0002966478789676654
p97,1981_2020,0.05,7,Open Shrub,99,0.029368140017798874
p97,1981_2020,0.05,8,Woody Savanna,124,0.036784336991990504
p97,1981_2020,0.05,9,Savanna,452,0.13408484129338474
p97,1981_2020,0.05,10,Grass,298,0.08840106793236428
p97,1981_2020,0.05,11,Wetland,4,0.0011865915158706616
p97,1981_2020,0.05,12,Cropland,1584,0.469890240284782
p97,1981_2020,0.05,13,Urban,26,0.0077128448531593
p97,1981_2020,0.05,14,Crop/Nat Mosaic,49,0.014535746069415604
p97,1981_2020,0.05,16,Barren,4,0.0011865915158706616
p97,1981_2020,0.05,17,Water,45,0.013349154553544943
p97,1981_2020,0.1,1,ENF,68,0.010086027884900622
p97,1981_2020,0.1,4,DBF,830,0.12310886977158113
p97,1981_2020,0.1,5,MF,579,0.08587956096113913
p97,1981_2020,0.1,6,Closed Shrub,1,0.0001483239394838327
p97,1981_2020,0.1,7,Open Shrub,172,0.025511717591219223
p97,1981_2020,0.1,8,Woody Savanna,293,0.04345891426876298
p97,1981_2020,0.1,9,Savanna,811,0.1202907149213883
p97,1981_2020,0.1,10,Grass,620,0.09196084247997627
p97,1981_2020,0.1,11,Wetland,10,0.0014832393948383269
p97,1981_2020,0.1,12,Cropland,3106,0.4606941560367843
p97,1981_2020,0.1,13,Urban,61,0.009047760308513795
p97,1981_2020,0.1,14,Crop/Nat Mosaic,78,0.01156926727973895
p97,1981_2020,0.1,16,Barren,46,0.006822901216256304
p97,1981_2020,0.1,17,Water,67,0.00993770394541679
p97,1991_2020,0.05,1,ENF,9,0.0026698309107089885
p97,1991_2020,0.05,4,DBF,382,0.11331948976564818
p97,1991_2020,0.05,5,MF,120,0.035597745476119845
p97,1991_2020,0.05,7,Open Shrub,116,0.034411153960249186
p97,1991_2020,0.05,8,Woody Savanna,93,0.027588252743992882
p97,1991_2020,0.05,9,Savanna,246,0.07297537822604569
p97,1991_2020,0.05,10,Grass,323,0.09581726490655591
p97,1991_2020,0.05,11,Wetland,7,0.0020765351527736575
p97,1991_2020,0.05,12,Cropland,1578,0.468110353010976
p97,1991_2020,0.05,13,Urban,35,0.010382675763868289
p97,1991_2020,0.05,14,Crop/Nat Mosaic,22,0.006526253337288638
p97,1991_2020,0.05,16,Barren,379,0.11242954612874519
p97,1991_2020,0.05,17,Water,61,0.01809552061702759
p97,1991_2020,0.1,1,ENF,48,0.0071195490952239695
p97,1991_2020,0.1,4,DBF,657,0.09744882824087808
p97,1991_2020,0.1,5,MF,323,0.047908632453277956
p97,1991_2020,0.1,7,Open Shrub,191,0.028329872441412045
p97,1991_2020,0.1,8,Woody Savanna,183,0.027143280925541382
p97,1991_2020,0.1,9,Savanna,552,0.08187481459507565
p97,1991_2020,0.1,10,Grass,664,0.0984870958172649
p97,1991_2020,0.1,11,Wetland,10,0.0014832393948383269
p97,1991_2020,0.1,12,Cropland,3243,0.4810145357460694
p97,1991_2020,0.1,13,Urban,87,0.012904182735093445
p97,1991_2020,0.1,14,Crop/Nat Mosaic,46,0.006822901216256304
p97,1991_2020,0.1,16,Barren,608,0.09018095520617028
p97,1991_2020,0.1,17,Water,130,0.01928211213289825
p99,1981_2020,0.05,1,ENF,25,0.007416196974191634
p99,1981_2020,0.05,4,DBF,270,0.08009492732126965
p99,1981_2020,0.05,5,MF,225,0.06674577276772471
p99,1981_2020,0.05,7,Open Shrub,145,0.04301394245031148
p99,1981_2020,0.05,8,Woody Savanna,140,0.041530703055473156
p99,1981_2020,0.05,9,Savanna,400,0.11865915158706615
p99,1981_2020,0.05,10,Grass,518,0.15366360130525067
p99,1981_2020,0.05,11,Wetland,7,0.0020765351527736575
p99,1981_2020,0.05,12,Cropland,1542,0.45743102936814
p99,1981_2020,0.05,13,Urban,19,0.005636309700385643
p99,1981_2020,0.05,14,Crop/Nat Mosaic,22,0.006526253337288638
p99,1981_2020,0.05,15,Snow/Ice,2,0.0005932957579353308
p99,1981_2020,0.05,16,Barren,16,0.004746366063482646
p99,1981_2020,0.05,17,Water,40,0.011865915158706615
p99,1981_2020,0.1,1,ENF,66,0.009789380005932958
