Elevation Zone,Value
0-500,0.03758049
0-500,0.040016174
0-500,0.0479517
0-500,0.053855896
0-500,0.06173134
0-500,0.063381195
0-500,0.06390953
0-500,0.06530666
0-500,0.063770294
0-500,0.06591511
0-500,0.072078705
0-500,0.070734024
0-500,0.06694794
0-500,0.06607914
0-500,0.06363201
0-500,0.06534481
0-500,0.06448746
0-500,0.063438416
0-500,0.060634613
0-500,0.056707382
0-500,0.05836296
0-500,0.057905197
0-500,0.056708336
0-500,0.054647446
0-500,0.057595253
0-500,0.059934616
0-500,0.060995102
0-500,0.086318016
0-500,0.09020424
0-500,0.09332371
0-500,0.092936516
0-500,0.10108471
0-500,0.102983475
0-500,0.10052109
0-500,0.10246849
0-500,0.09524441
0-500,0.09518051
0-500,0.09828377
0-500,0.10344124
0-500,0.099318504
0-500,0.08975124
0-500,0.08273888
0-500,0.07788372
0-500,0.0756731
0-500,0.07866955
0-500,0.0750618
0-500,0.08206272
0-500,0.08295727
0-500,0.08380222
0-500,0.08278656
0-500,0.08231068
0-500,0.08113003
0-500,0.086110115
0-500,0.091236115
0-500,0.09845066
0-500,0.09877682
0-500,0.10184097
0-500,0.10758972
0-500,0.11083031
0-500,0.11347771
0-500,0.11822128
0-500,0.120708466
0-500,0.12199402
0-500,0.12542725
0-500,0.1297617
0-500,0.13411045
0-500,0.1361227
0-500,0.13911724
0-500,0.13938999
0-500,0.14024258
0-500,0.14608955
0-500,0.14786053
0-500,0.15125751
0-500,0.15269566
0-500,0.15272522
0-500,0.15159035
0-500,0.15041637
0-500,0.15173912
0-500,0.15112019
0-500,0.15066433
0-500,0.15256214
0-500,0.15098572
0-500,0.14771652
0-500,0.1428423
0-500,0.13204193
0-500,0.121004105
0-500,0.117640495
0-500,0.114087105
0-500,0.110806465
0-500,0.1148653
0-500,0.11804867
0-500,0.18283844
0-500,0.17849255
0-500,0.1813488
0-500,0.18407154
0-500,0.1835823
0-500,0.1834917
0-500,0.18651962
0-500,0.18867493
0-500,0.19258118
0-500,0.20149422
0-500,0.2081585
0-500,0.21344852
0-500,0.2163353
0-500,0.2237854
0-500,0.22412872
0-500,0.2252903
0-500,0.23433971
0-500,0.2376566
0-500,0.24346066
0-500,0.244668
0-500,0.24818897
0-500,0.24402714
0-500,0.23875618
0-500,0.2370882
0-500,0.2447176
0-500,0.24217033
0-500,0.2444067
0-500,0.24835777
0-500,0.2530241
0-500,0.25762177
0-500,0.2581768
0-500,0.25658798
0-500,0.265419
0-500,0.2684288
0-500,0.27383232
0-500,0.27197552
0-500,0.26275158
0-500,0.2641058
0-500,0.26054573
0-500,0.25277138
0-500,0.2530403
0-500,0.2575512
0-500,0.2608633
0-500,0.25482655
0-500,0.2541399
0-500,0.25552845
0-500,0.2576437
0-500,0.25527
0-500,0.26075172
0-500,0.26286316
0-500,0.26991177
0-500,0.2740717
0-500,0.27074242
0-500,0.27744198
0-500,0.27786064
0-500,0.27376556
0-500,0.27386284
0-500,0.27752113
0-500,0.27543068
0-500,0.27038288
0-500,0.2621193
0-500,0.2610283
0-500,0.25914097
0-500,0.26088238
0-500,0.25701714
0-500,0.25808525
0-500,0.26268387
0-500,0.26471996
0-500,0.26528263
0-500,0.26308632
0-500,0.26148033
0-500,0.2638712
0-500,0.26548195
0-500,0.2720518
0-500,0.27806664
0-500,0.28293133
0-500,0.28534317
0-500,0.2851324
0-500,0.28738976
0-500,0.28881454
0-500,0.28627872
0-500,0.28141308
0-500,0.27396774
0-500,0.26952267
0-500,0.26926994
0-500,0.26479435
0-500,0.25412846
0-500,0.2509985
0-500,0.24665165
0-500,0.24357414
0-500,0.24587631
0-500,0.2414484
0-500,0.24025726
0-500,0.2421484
0-500,0.24979973
0-500,0.2576418
0-500,0.25595188
0-500,0.25675297
0-500,0.25942802
0-500,0.26048756
0-500,0.25701523
0-500,0.26011086
0-500,0.26225948
0-500,0.2649927
0-500,0.2707367
0-500,0.27425003
0-500,0.28282833
0-500,0.28623676
0-500,0.29456902
0-500,0.30345154
0-500,0.30289268
0-500,0.30671215
0-500,0.30983734
0-500,0.31572056
0-500,0.32000923
0-500,0.32317734
0-500,0.3166523
0-500,0.31256676
0-500,0.30388355
0-500,0.3028717
0-500,0.30253506
0-500,0.30288792
0-500,0.3024168
0-500,0.29581833
0-500,0.2972784
0-500,0.30430222
0-500,0.30985832
0-500,0.3131771
0-500,0.31549263
0-500,0.31978035
0-500,0.32085514
0-500,0.32371998
0-500,0.32192326
0-500,0.31761837
0-500,0.3192358
0-500,0.32216644
0-500,0.32114983
0-500,0.3202858
0-500,0.32534504
0-500,0.32208252
0-500,0.31957626
0-500,0.31621075
0-500,0.3139944
0-500,0.31073093
0-500,0.29955196
0-500,0.29414368
0-500,0.28959656
0-500,0.28791523
0-500,0.29042816
0-500,0.2947483
0-500,0.29736996
0-500,0.30123234
0-500,0.2997465
0-500,0.29819298
0-500,0.29926586
0-500,0.29737282
0-500,0.2918148
0-500,0.28665066
0-500,0.28399277
0-500,0.2813673
0-500,0.2799492
0-500,0.27668
0-500,0.274765
0-500,0.27440357
0-500,0.2799511
0-500,0.2818575
0-500,0.28135204
0-500,0.27602196
0-500,0.27665138
0-500,0.2794628
0-500,0.28688526
0-500,0.2926159
0-500,0.2945013
0-500,0.2965355
0-500,0.3027277
0-500,0.3089466
0-500,0.31168365
0-500,0.31217575
0-500,0.31412315
0-500,0.3086567
0-500,0.30655384
0-500,0.3063364
0-500,0.30665112
0-500,0.30758667
0-500,0.307786
0-500,0.3025341
0-500,0.29607487
0-500,0.2937975
0-500,0.2944517
0-500,0.28975487
0-500,0.29145336
0-500,0.29780388
0-500,0.30088043
0-500,0.30705357
0-500,0.31449795
0-500,0.31750488
0-500,0.3184986
0-500,0.31542492
0-500,0.31762218
0-500,0.31250286
0-500,0.3120699
0-500,0.3094654
0-500,0.31042194
0-500,0.31273746
0-500,0.31077766
0-500,0.3151188
0-500,0.32094574
0-500,0.322896
0-500,0.31749535
0-500,0.31169224
0-500,0.30747032
0-500,0.3015995
0-500,0.2982483
0-500,0.30146217
0-500,0.30400467
0-500,0.31392002
0-500,0.3198309
0-500,0.32162666
0-500,0.322402
0-500,0.31707954
0-500,0.3100357
0-500,0.31082153
0-500,0.31131077
0-500,0.30866623
0-500,0.31094074
0-500,0.31160164
0-500,0.31173515
0-500,0.3067751
0-500,0.3069296
0-500,0.30607605
0-500,0.30797386
0-500,0.30639076
0-500,0.30583668
0-500,0.30642414
0-500,0.30340767
0-500,0.30373955
0-500,0.2980051
0-500,0.29748154
0-500,0.29939747
0-500,0.29815292
0-500,0.30138588
0-500,0.30815125
0-500,0.30809212
0-500,0.3099661
0-500,0.31236076
0-500,0.3115139
0-500,0.310421
0-500,0.30153942
0-500,0.30165672
0-500,0.3037386
0-500,0.30470085
0-500,0.30119038
0-500,0.299819
0-500,0.29971695
0-500,0.30027962
0-500,0.2986288
0-500,0.29525185
0-500,0.29714775
0-500,0.2979517
0-500,0.30163383
0-500,0.30385017
0-500,0.3034582
0-500,0.3010254
0-500,0.304821
0-500,0.30109978
0-500,0.29389572
0-500,0.2903061
0-500,0.28314304
0-500,0.28131294
0-500,0.2781763
0-500,0.27122593
0-500,0.26960278
0-500,0.26570415
0-500,0.26111984
0-500,0.25436974
0-500,0.25221825
0-500,0.2519188
0-500,0.25048923
0-500,0.24385071
0-500,0.23734379
0-500,0.23282433
0-500,0.23226833
0-500,0.23152065
0-500,0.2284298
0-500,0.22842312
0-500,0.22967434
0-500,0.228446
0-500,0.22829437
0-500,0.22863388
0-500,0.22791672
0-500,0.22666454
0-500,0.2307806
0-500,0.23144054
0-500,0.22934437
0-500,0.22571468
0-500,0.22906113
0-500,0.23099804
0-500,0.23102665
0-500,0.23621655
0-500,0.23822784
0-500,0.24221706
0-500,0.23967552
0-500,0.23938656
0-500,0.24063492
0-500,0.2419796
0-500,0.24397564
0-500,0.2421856
0-500,0.24116421
0-500,0.24082756
0-500,0.24189472
0-500,0.23916054
0-500,0.23730183
0-500,0.23583603
0-500,0.23618317
0-500,0.23683357
0-500,0.23616505
0-500,0.23610878
0-500,0.24186325
0-500,0.244627
0-500,0.2426691
0-500,0.24332523
0-500,0.24674892
0-500,0.24908257
0-500,0.2491827
0-500,0.24716187
0-500,0.24560452
0-500,0.24611568
0-500,0.24364853
0-500,0.24212074
0-500,0.24670601
0-500,0.24923229
0-500,0.036255836
0-500,0.03656292
0-500,0.04752636
0-500,0.048213005
0-500,0.054549217
0-500,0.06019497
0-500,0.06637001
0-500,0.06959152
0-500,0.07327843
0-500,0.073391914
0-500,0.07336521
0-500,0.07440758
0-500,0.07040119
0-500,0.06606102
0-500,0.06795502
0-500,0.06670475
0-500,0.06382084
0-500,0.054613113
0-500,0.045082092
0-500,0.045362473
0-500,0.04559326
0-500,0.050362587
0-500,0.050577164
0-500,0.050227165
0-500,0.051890373
0-500,0.077254295
0-500,0.0770216
0-500,0.08195877
0-500,0.09095955
0-500,0.096702576
0-500,0.0997715
0-500,0.10939503
0-500,0.10568905
0-500,0.09847641
0-500,0.096894264
0-500,0.10059738
0-500,0.0988245
0-500,0.10048866
0-500,0.10451603
0-500,0.10437584
0-500,0.0948143
0-500,0.08031654
0-500,0.07291794
0-500,0.0764513
0-500,0.07877159
0-500,0.08160019
0-500,0.08154392
0-500,0.092409134
0-500,0.09048748
0-500,0.08771801
0-500,0.091257095
0-500,0.09476948
0-500,0.09484768
0-500,0.097052574
0-500,0.0986681
0-500,0.10242748
0-500,0.10248852
0-500,0.106264114
0-500,0.108447075
0-500,0.113658905
0-500,0.11795902
0-500,0.119161606
0-500,0.1215353
0-500,0.12647533
0-500,0.12691593
0-500,0.1300621
0-500,0.13465405
0-500,0.1420126
0-500,0.1436739
0-500,0.14754772
0-500,0.15136051
0-500,0.15166855
0-500,0.15317631
0-500,0.15649223
0-500,0.15799046
0-500,0.15670109
0-500,0.15574455
0-500,0.15207195
0-500,0.1499672
0-500,0.1500082
0-500,0.15185356
0-500,0.14805412
0-500,0.14617538
0-500,0.13498878
0-500,0.12577343
0-500,0.11542225
0-500,0.11055374
0-500,0.11024475
0-500,0.11351395
0-500,0.113345146
0-500,0.1801424
0-500,0.18041134
0-500,0.17093563
0-500,0.17902088
0-500,0.18057442
0-500,0.18591881
0-500,0.18810749
0-500,0.1878624
0-500,0.19094467
0-500,0.19715309
0-500,0.20383263
0-500,0.21399021
0-500,0.21586704
0-500,0.217412
0-500,0.22249126
0-500,0.2277689
0-500,0.23268032
0-500,0.23320866
0-500,0.23559666
0-500,0.23837185
0-500,0.23945999
0-500,0.24067402
0-500,0.24375439
0-500,0.24381065
0-500,0.23724174
0-500,0.23682499
0-500,0.2438116
0-500,0.24506664
0-500,0.24427223
0-500,0.24279118
0-500,0.24448872
0-500,0.2526064
0-500,0.25599194
0-500,0.25774097
0-500,0.25734043
0-500,0.25986195
0-500,0.26580238
0-500,0.2668028
0-500,0.26824474
0-500,0.26278973
0-500,0.2575693
0-500,0.25911808
0-500,0.25121117
0-500,0.2492733
0-500,0.2478733
0-500,0.25270367
0-500,0.2574587
0-500,0.2596197
0-500,0.26102448
0-500,0.2599516
0-500,0.25716114
0-500,0.26350498
0-500,0.27189064
0-500,0.28187656
0-500,0.27393532
0-500,0.26983166
0-500,0.28944492
0-500,0.28580093
0-500,0.27344894
0-500,0.26505756
0-500,0.25988865
0-500,0.25724792
0-500,0.26090336
0-500,0.26802635
0-500,0.26678944
0-500,0.26773357
0-500,0.27421188
0-500,0.27238178
0-500,0.26527882
0-500,0.26341343
0-500,0.26815414
0-500,0.270401
0-500,0.27774143
0-500,0.28126526
0-500,0.2902031
0-500,0.29053402
0-500,0.29143047
0-500,0.29604244
0-500,0.29787922
0-500,0.29460335
0-500,0.2875061
0-500,0.27975368
0-500,0.2739191
0-500,0.2674904
0-500,0.26522923
0-500,0.25830173
0-500,0.25561428
0-500,0.24995804
0-500,0.24293423
0-500,0.24551773
0-500,0.24592972
0-500,0.24307156
0-500,0.23958683
0-500,0.2433033
0-500,0.25345707
0-500,0.25733662
0-500,0.25828838
0-500,0.26086712
0-500,0.26180267
0-500,0.26039124
0-500,0.2560358
0-500,0.25280666
0-500,0.2569151
0-500,0.26387787
0-500,0.2678194
0-500,0.27178383
0-500,0.27740765
0-500,0.28195095
0-500,0.29132748
0-500,0.29850292
0-500,0.30141926
0-500,0.3078661
0-500,0.31426334
0-500,0.32028008
0-500,0.327919
0-500,0.33119392
0-500,0.3317232
0-500,0.3309307
0-500,0.3240919
0-500,0.32376003
0-500,0.32848358
0-500,0.32859325
0-500,0.32822227
0-500,0.33076572
0-500,0.32773113
0-500,0.3272848
