zone,ref_mean,n_ref,diff_mean,n_diff,distortion_ratio,metric,percentile,data_type,ref_baseline,alt_baseline
0,0.04954013660647866,59148,-0.013186507668146946,59148,-0.26617821244845624,hw_count,p90,daily_maximum,1981_2010,1991_2020
4,5.062878507510841,11709,-0.8101080839999619,11709,-0.1600093862015577,hw_count,p90,daily_maximum,1981_2010,1991_2020
5,5.818394024276378,1666,-0.8492597038815526,1666,-0.14596118772268288,hw_count,p90,daily_maximum,1981_2010,1991_2020
6,5.34043142043142,1365,-0.9402523402523402,1365,-0.17606299275644535,hw_count,p90,daily_maximum,1981_2010,1991_2020
7,5.8049177159266625,8048,-1.2681798100287167,8048,-0.2184664572186115,hw_count,p90,daily_maximum,1981_2010,1991_2020
8,5.214453280318091,10060,-1.0220786392754584,10060,-0.19600878220027354,hw_count,p90,daily_maximum,1981_2010,1991_2020
9,5.6684730743012945,1956,-0.9733583276528062,1956,-0.17171437760699607,hw_count,p90,daily_maximum,1981_2010,1991_2020
14,5.490814347470499,4755,-1.2375137282392803,4755,-0.2253789051446599,hw_count,p90,daily_maximum,1981_2010,1991_2020
15,5.191286812418888,11130,-1.0027892582609563,11130,-0.19316776216839918,hw_count,p90,daily_maximum,1981_2010,1991_2020
17,6.629528158295282,73,-1.8471841704718415,73,-0.2786298094796129,hw_count,p90,daily_maximum,1981_2010,1991_2020
18,6.157037037037036,900,-1.4391111111111112,900,-0.23373435958188,hw_count,p90,daily_maximum,1981_2010,1991_2020
25,5.861579942854844,2761,-1.523916455390559,2761,-0.2599839066680897,hw_count,p90,daily_maximum,1981_2010,1991_2020
26,5.822201294310828,13804,-1.4248285521104993,13804,-0.24472334047528366,hw_count,p90,daily_maximum,1981_2010,1991_2020
27,5.8262986553432405,785,-1.263864118895966,785,-0.21692401840191433,hw_count,p90,daily_maximum,1981_2010,1991_2020
29,5.733428707677635,233,-1.0484501669051025,233,-0.18286617284914716,hw_count,p90,daily_maximum,1981_2010,1991_2020
0,0.02320619463041861,59148,-0.0071384023504129,59148,-0.3076074896390385,hw_count,p95,daily_maximum,1981_2010,1991_2020
4,2.36474506789649,11709,-0.483688710488608,11709,-0.20454158674848086,hw_count,p95,daily_maximum,1981_2010,1991_2020
5,2.886594637855142,1666,-0.5712685074029612,1666,-0.19790395850260342,hw_count,p95,daily_maximum,1981_2010,1991_2020
6,2.5582580382580384,1365,-0.6062026862026862,1365,-0.236959163136596,hw_count,p95,daily_maximum,1981_2010,1991_2020
7,2.8859205875855976,8048,-0.7761293351005081,8048,-0.26893648278120647,hw_count,p95,daily_maximum,1981_2010,1991_2020
8,2.566293351005081,10060,-0.5873735365584273,10060,-0.22888012161181145,hw_count,p95,daily_maximum,1981_2010,1991_2020
9,2.8490911156555327,1956,-0.6220745285162463,1956,-0.21834139417815793,hw_count,p95,daily_maximum,1981_2010,1991_2020
14,2.6130716205164153,4755,-0.7129945087042878,4755,-0.2728568556551128,hw_count,p95,daily_maximum,1981_2010,1991_2020
15,2.436763502046521,11130,-0.6242507736847359,11130,-0.25618028610435717,hw_count,p95,daily_maximum,1981_2010,1991_2020
17,3.3598173515981737,73,-1.0867579908675797,73,-0.32345746030392514,hw_count,p95,daily_maximum,1981_2010,1991_2020
18,3.056320987654321,900,-0.8335308641975309,900,-0.27272359966026244,hw_count,p95,daily_maximum,1981_2010,1991_2020
25,2.7250754557527466,2761,-0.7840959394744255,2761,-0.2877336607108732,hw_count,p95,daily_maximum,1981_2010,1991_2020
26,2.792164911941788,13804,-0.8450062783734184,13804,-0.3026348020251489,hw_count,p95,daily_maximum,1981_2010,1991_2020
27,2.9311252653927813,785,-0.8075300778485492,785,-0.27550172782715243,hw_count,p95,daily_maximum,1981_2010,1991_2020
29,2.9538388173581307,233,-0.7423938960419647,233,-0.2513318902730894,hw_count,p95,daily_maximum,1981_2010,1991_2020
0,0.003610904473148336,59148,-0.0017861034091506804,59148,-0.4946401866985753,hw_count,p99,daily_maximum,1981_2010,1991_2020
4,0.36970801188069957,11709,-0.1305965971095359,11709,-0.35324253026805535,hw_count,p99,daily_maximum,1981_2010,1991_2020
5,0.5766439909297052,1666,-0.17523009203681472,1666,-0.30387915551760997,hw_count,p99,daily_maximum,1981_2010,1991_2020
6,0.4933333333333333,1365,-0.18391534391534392,1365,-0.3728013652445884,hw_count,p99,daily_maximum,1981_2010,1991_2020
7,0.5982852882703777,8048,-0.23743373094764744,8048,-0.3968570373266069,hw_count,p99,daily_maximum,1981_2010,1991_2020
8,0.5054561519770268,10060,-0.17189308592887123,10060,-0.34007516152643885,hw_count,p99,daily_maximum,1981_2010,1991_2020
9,0.556157691433765,1956,-0.18015223812769826,1956,-0.3239229406754035,hw_count,p99,daily_maximum,1981_2010,1991_2020
14,0.44447248510339993,4755,-0.18275966818553568,4755,-0.41118330200166686,hw_count,p99,daily_maximum,1981_2010,1991_2020
15,0.43457921533393234,11130,-0.17431167016072677,11130,-0.40110447071367716,hw_count,p99,daily_maximum,1981_2010,1991_2020
17,0.7363774733637747,73,-0.27640791476407917,73,-0.37536171462148316,hw_count,p99,daily_maximum,1981_2010,1991_2020
18,0.6644938271604939,900,-0.26,900,-0.39127526165032395,hw_count,p99,daily_maximum,1981_2010,1991_2020
25,0.5360779105799026,2761,-0.24389713871785584,2761,-0.45496583491821474,hw_count,p99,daily_maximum,1981_2010,1991_2020
26,0.47996232975949,13804,-0.2372742200328407,13804,-0.4943600786506276,hw_count,p99,daily_maximum,1981_2010,1991_2020
27,0.5750601556970983,785,-0.22694975230007078,785,-0.3946539263851777,hw_count,p99,daily_maximum,1981_2010,1991_2020
29,0.6117310443490701,233,-0.27620410109680493,233,-0.45151230942608883,hw_count,p99,daily_maximum,1981_2010,1991_2020
0,0.070437621634619,59148,-0.014084443542751514,59148,-0.19995623384686928,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
4,6.51937825604236,11709,-0.6314060409371708,11709,-0.09685065280319603,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
5,7.02998532746432,1666,-0.5982793117246898,1666,-0.08510392027936807,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
6,6.152804232804233,1365,-0.6361741961741961,1365,-0.10339581287966512,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
7,6.97904517340402,8048,-0.9995941020543406,8048,-0.14322791668283624,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
8,6.379893969516235,10060,-0.7617428760768721,10060,-0.11939741922398409,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
9,7.014383094751193,1956,-0.6848216314473984,1956,-0.09763105624834412,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
14,6.6414394204930485,4755,-0.910297932001402,4755,-0.13706334922244756,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
15,6.301856843366278,11130,-0.6608705201158032,11130,-0.10486917356156454,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
17,8.257838660578386,73,-1.4316590563165905,73,-0.17336970524955966,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
18,7.439506172839506,900,-1.006716049382716,900,-0.1353202786100076,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
25,7.390237031671295,2761,-1.3140327578574589,2761,-0.17780657784696602,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
26,6.968582375478927,13804,-1.0198235616085514,13804,-0.1463459144479157,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
27,7.029129511677283,785,-0.8777070063694268,785,-0.12486709821787284,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
29,7.050071530758227,233,-0.7536480686695278,233,-0.10689935049772188,hw_max_duration,p90,daily_maximum,1981_2010,1991_2020
0,0.04256103334009603,59148,-0.010785750246087028,59148,-0.2534183704074274,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
4,4.159639783262637,11709,-0.5918657063417504,11709,-0.1422877306108078,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
5,4.653554755235428,1666,-0.5952247565692944,1666,-0.12790754307136246,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
6,4.052144892144892,1365,-0.6156613756613757,1365,-0.15193468904221372,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
7,4.596092887121714,8048,-0.9109261100066269,8048,-0.19819575678661563,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
8,4.178871217141595,10060,-0.657660702451955,10060,-0.1573775947390951,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
9,4.723290161326971,1956,-0.6795955464667122,1956,-0.14388181157961447,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
14,4.377857226311485,4755,-0.8239280289753476,4755,-0.18820349419834875,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
15,4.159191374663073,11130,-0.6615833083757612,11130,-0.15906536804613877,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
17,5.460882800608828,73,-1.2687975646879757,73,-0.23234293953774093,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
18,4.945876543209877,900,-1.0606666666666666,900,-0.21445473926725755,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
25,4.793118435349511,2761,-1.123095496800676,2761,-0.23431415467947628,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
26,4.618390804597701,13804,-0.9692987539843524,13804,-0.209878027411759,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
27,4.768181174805378,785,-0.8873885350318471,785,-0.18610629517595972,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
29,4.776347162613257,233,-0.8499761564139247,233,-0.17795527119291912,hw_max_duration,p95,daily_maximum,1981_2010,1991_2020
0,0.009916743686270973,59148,-0.004810531773404567,59148,-0.48509138429689946,hw_max_duration,p99,daily_maximum,1981_2010,1991_2020
4,0.9661874531462029,11709,-0.3231834960761428,11709,-0.334493572317486,hw_max_duration,p99,daily_maximum,1981_2010,1991_2020
5,1.3601307189542482,1666,-0.37110844337735094,1666,-0.2728476281560684,hw_max_duration,p99,daily_maximum,1981_2010,1991_2020
6,1.1186161986161987,1365,-0.3893691493691494,1365,-0.3480810901630189,hw_max_duration,p99,daily_maximum,1981_2010,1991_2020
