zone,ref_mean,n_ref,diff_mean,n_diff,distortion_ratio,metric,percentile,data_type,ref_baseline,alt_baseline
0,0.05211334280110908,59148,-0.014534538596214392,59148,-0.2789023890227432,hw_count,p90,daily_mean,1981_2010,1991_2020
4,5.627754528805002,11709,-1.1440354523111376,11709,-0.20328453283146605,hw_count,p90,daily_mean,1981_2010,1991_2020
5,6.033640122715752,1666,-0.87374949979992,1666,-0.1448129952368644,hw_count,p90,daily_mean,1981_2010,1991_2020
6,5.660936100936101,1365,-1.0551729751729753,1365,-0.1863954926349611,hw_count,p90,daily_mean,1981_2010,1991_2020
7,6.018466975922244,8048,-1.3003064943671305,8048,-0.21605277513504165,hw_count,p90,daily_mean,1981_2010,1991_2020
8,5.503483543185332,10060,-1.103649215816214,10060,-0.20053647933179314,hw_count,p90,daily_mean,1981_2010,1991_2020
9,5.896273574187685,1956,-0.9617018859350148,1956,-0.163103335047759,hw_count,p90,daily_mean,1981_2010,1991_2020
14,5.949872648673911,4755,-1.3804135997195934,4755,-0.2320072510639674,hw_count,p90,daily_mean,1981_2010,1991_2020
15,5.586133572926026,11130,-1.0415134271738045,11130,-0.18644620858283487,hw_count,p90,daily_mean,1981_2010,1991_2020
17,6.367123287671233,73,-1.8462709284627092,73,-0.28996940095976786,hw_count,p90,daily_mean,1981_2010,1991_2020
18,6.283777777777777,900,-1.462716049382716,900,-0.2327765396522714,hw_count,p90,daily_mean,1981_2010,1991_2020
25,5.985134210632219,2761,-1.507915811501469,2761,-0.25194352472553,hw_count,p90,daily_mean,1981_2010,1991_2020
26,6.122420232460801,13804,-1.4884059370874787,13804,-0.24310744413866628,hw_count,p90,daily_mean,1981_2010,1991_2020
27,6.3665392781316354,785,-1.4580325548478417,785,-0.22901493085354463,hw_count,p90,daily_mean,1981_2010,1991_2020
29,6.231187410586552,233,-1.2499761564139247,233,-0.2005999935556845,hw_count,p90,daily_mean,1981_2010,1991_2020
0,0.025432249047586845,59148,-0.007826694619147449,59148,-0.30774673238829287,hw_count,p95,daily_mean,1981_2010,1991_2020
4,2.7237319820460995,11709,-0.7075962460026001,11709,-0.2597892333272649,hw_count,p95,daily_mean,1981_2010,1991_2020
5,3.0899159663865547,1666,-0.6057222889155662,1666,-0.19603196123925576,hw_count,p95,daily_mean,1981_2010,1991_2020
6,2.8645177045177044,1365,-0.6484330484330484,1365,-0.22636726774169186,hw_count,p95,daily_mean,1981_2010,1991_2020
7,3.080674287607687,8048,-0.8294731610337973,8048,-0.2692505214452332,hw_count,p95,daily_mean,1981_2010,1991_2020
8,2.812571239231279,10060,-0.6687629776894191,10060,-0.23777636846433767,hw_count,p95,daily_mean,1981_2010,1991_2020
9,2.9919677346057716,1956,-0.5935014769370598,1956,-0.1983649315762463,hw_count,p95,daily_mean,1981_2010,1991_2020
14,2.9792218717139853,4755,-0.8829489426334852,4755,-0.29636897743430685,hw_count,p95,daily_mean,1981_2010,1991_2020
15,2.7038714185883994,11130,-0.674010182689428,11130,-0.24927597354039358,hw_count,p95,daily_mean,1981_2010,1991_2020
17,3.3223744292237445,73,-1.078234398782344,73,-0.3245372905753115,hw_count,p95,daily_mean,1981_2010,1991_2020
18,3.1711604938271605,900,-0.9102222222222223,900,-0.2870312685604237,hw_count,p95,daily_mean,1981_2010,1991_2020
25,2.9738902973962733,2761,-0.8399372208137148,2761,-0.2824371896719701,hw_count,p95,daily_mean,1981_2010,1991_2020
26,3.034213915451238,13804,-0.9080878328342832,13804,-0.2992827319185266,hw_count,p95,daily_mean,1981_2010,1991_2020
27,3.3340410474168434,785,-0.987940552016985,785,-0.29631925192379727,hw_count,p95,daily_mean,1981_2010,1991_2020
29,3.3458273724368146,233,-0.9348593228421554,233,-0.2794105062770106,hw_count,p95,daily_mean,1981_2010,1991_2020
0,0.005263256764575491,59148,-0.0025382655936520815,59148,-0.48226048710582614,hw_count,p99,daily_mean,1981_2010,1991_2020
4,0.47157457226634786,11709,-0.19357569201279165,11709,-0.41048796795298664,hw_count,p99,daily_mean,1981_2010,1991_2020
5,0.6550086701347206,1666,-0.18700813658796853,1666,-0.2855048219353446,hw_count,p99,daily_mean,1981_2010,1991_2020
6,0.5685795685795686,1365,-0.21198209198209197,1365,-0.37282748091598333,hw_count,p99,daily_mean,1981_2010,1991_2020
7,0.687215595316987,8048,-0.25592831897503865,8048,-0.3724134274526383,hw_count,p99,daily_mean,1981_2010,1991_2020
8,0.6105721228186437,10060,-0.21648111332007955,10060,-0.35455452629440626,hw_count,p99,daily_mean,1981_2010,1991_2020
9,0.646250852079073,1956,-0.18892297205180641,1956,-0.29233689753854514,hw_count,p99,daily_mean,1981_2010,1991_2020
14,0.5818109592242084,4755,-0.2374389531487323,4755,-0.40810325983598306,hw_count,p99,daily_mean,1981_2010,1991_2020
15,0.5134191873814515,11130,-0.20384745931915743,11130,-0.3970390284563245,hw_count,p99,daily_mean,1981_2010,1991_2020
17,0.791476407914764,73,-0.30928462709284626,73,-0.3907692258320119,hw_count,p99,daily_mean,1981_2010,1991_2020
