koppen_zone,metric,percentile,daily_statistic,deltaB_mean,deltaB_median,deltaB_std,n_pixel
0,hw_count,p90,daily_maximum,-0.013186507668146946,0.0,0.14825285117746534,59148
4,hw_count,p90,daily_maximum,-0.8101080839999619,-0.7999999999999998,0.32454328500295304,11709
5,hw_count,p90,daily_maximum,-0.8492597038815527,-0.8222222222222229,0.3146056412897766,1666
6,hw_count,p90,daily_maximum,-0.9402523402523404,-0.9555555555555548,0.5247534922668394,1365
7,hw_count,p90,daily_maximum,-1.2681798100287167,-1.333333333333333,0.48993569062348186,8048
8,hw_count,p90,daily_maximum,-1.0220786392754584,-1.0888888888888886,0.574496578434021,10060
9,hw_count,p90,daily_maximum,-0.9733583276528062,-1.0,0.45785097834720356,1956
14,hw_count,p90,daily_maximum,-1.2375137282392803,-1.2666666666666666,0.3666898531019924,4755
15,hw_count,p90,daily_maximum,-1.0027892582609563,-1.0666666666666664,0.3582583984263487,11130
17,hw_count,p90,daily_maximum,-1.847184170471842,-1.7777777777777777,0.36308513635496037,73
18,hw_count,p90,daily_maximum,-1.439111111111111,-1.4444444444444446,0.32974210315841695,900
25,hw_count,p90,daily_maximum,-1.523916455390559,-1.5555555555555562,0.3335573318429382,2761
26,hw_count,p90,daily_maximum,-1.4248285521104995,-1.4222222222222225,0.279214169317921,13804
27,hw_count,p90,daily_maximum,-1.263864118895966,-1.2888888888888888,0.3011722682671657,785
29,hw_count,p90,daily_maximum,-1.0484501669051025,-1.0444444444444452,0.3028833311115771,233
0,hw_count,p95,daily_maximum,-0.0071384023504128995,0.0,0.08050677570360514,59148
4,hw_count,p95,daily_maximum,-0.483688710488608,-0.4888888888888887,0.21953959288361188,11709
5,hw_count,p95,daily_maximum,-0.5712685074029612,-0.5555555555555558,0.20269774837082427,1666
6,hw_count,p95,daily_maximum,-0.6062026862026862,-0.6000000000000001,0.3899180080229939,1365
7,hw_count,p95,daily_maximum,-0.776129335100508,-0.7999999999999998,0.32358231522394354,8048
8,hw_count,p95,daily_maximum,-0.5873735365584273,-0.6000000000000001,0.38379517586031403,10060
9,hw_count,p95,daily_maximum,-0.6220745285162463,-0.6000000000000001,0.3082098113102865,1956
14,hw_count,p95,daily_maximum,-0.7129945087042878,-0.7111111111111112,0.2792376814828028,4755
15,hw_count,p95,daily_maximum,-0.6242507736847359,-0.6444444444444444,0.2653092849018188,11130
17,hw_count,p95,daily_maximum,-1.0867579908675797,-1.088888888888889,0.2273135004333692,73
18,hw_count,p95,daily_maximum,-0.8335308641975309,-0.8444444444444446,0.22012707252799912,900
25,hw_count,p95,daily_maximum,-0.7840959394744255,-0.7555555555555558,0.2027131229078081,2761
26,hw_count,p95,daily_maximum,-0.8450062783734184,-0.8444444444444443,0.19215710914217696,13804
27,hw_count,p95,daily_maximum,-0.8075300778485491,-0.8,0.20295197410658067,785
29,hw_count,p95,daily_maximum,-0.7423938960419647,-0.7555555555555555,0.21636665873310895,233
0,hw_count,p99,daily_maximum,-0.0017861034091506804,0.0,0.021003827512145943,59148
4,hw_count,p99,daily_maximum,-0.1305965971095359,-0.11111111111111112,0.09302411205850168,11709
5,hw_count,p99,daily_maximum,-0.1752300920368147,-0.1777777777777777,0.0966087221306805,1666
6,hw_count,p99,daily_maximum,-0.1839153439153439,-0.15555555555555556,0.1491244301540948,1365
7,hw_count,p99,daily_maximum,-0.23743373094764747,-0.2222222222222222,0.15216934914631994,8048
8,hw_count,p99,daily_maximum,-0.17189308592887123,-0.15555555555555556,0.1521299969641028,10060
9,hw_count,p99,daily_maximum,-0.18015223812769823,-0.15555555555555556,0.15039368519638274,1956
14,hw_count,p99,daily_maximum,-0.18275966818553568,-0.17777777777777778,0.1030273634041738,4755
