koppen_zone,metric,percentile,daily_statistic,deltaB_mean,deltaB_median,deltaB_std,n_pixel
0,hw_count,p90,daily_mean,-0.01453453859621439,0.0,0.16033733407697748,59148
4,hw_count,p90,daily_mean,-1.1440354523111376,-1.1333333333333337,0.3659930517570871,11709
5,hw_count,p90,daily_mean,-0.87374949979992,-0.822222222222222,0.3171360415249825,1666
6,hw_count,p90,daily_mean,-1.0551729751729753,-1.0666666666666664,0.5478848036151189,1365
7,hw_count,p90,daily_mean,-1.3003064943671305,-1.3777777777777782,0.45019586485548124,8048
8,hw_count,p90,daily_mean,-1.103649215816214,-1.155555555555555,0.581995097541121,10060
9,hw_count,p90,daily_mean,-0.9617018859350148,-0.9333333333333336,0.42865834692146815,1956
14,hw_count,p90,daily_mean,-1.3804135997195934,-1.4222222222222225,0.40931972390349336,4755
15,hw_count,p90,daily_mean,-1.0415134271738047,-1.0666666666666664,0.3895933309174469,11130
17,hw_count,p90,daily_mean,-1.8462709284627097,-1.8666666666666663,0.2864728244996917,73
18,hw_count,p90,daily_mean,-1.462716049382716,-1.4666666666666668,0.3361262056037632,900
25,hw_count,p90,daily_mean,-1.507915811501469,-1.5555555555555554,0.30647620414334553,2761
26,hw_count,p90,daily_mean,-1.4884059370874787,-1.488888888888889,0.2796063629036073,13804
27,hw_count,p90,daily_mean,-1.4580325548478417,-1.4666666666666668,0.32315432143385303,785
29,hw_count,p90,daily_mean,-1.2499761564139245,-1.2666666666666666,0.22795449944244128,233
0,hw_count,p95,daily_mean,-0.007826694619147449,0.0,0.0865844475754081,59148
4,hw_count,p95,daily_mean,-0.7075962460026001,-0.7111111111111112,0.23795558488558427,11709
5,hw_count,p95,daily_mean,-0.6057222889155662,-0.577777777777778,0.2234437092328471,1666
6,hw_count,p95,daily_mean,-0.6484330484330484,-0.6000000000000001,0.378748555485532,1365
7,hw_count,p95,daily_mean,-0.8294731610337973,-0.8666666666666667,0.3152055857828825,8048
8,hw_count,p95,daily_mean,-0.6687629776894191,-0.6888888888888891,0.3775502814953277,10060
9,hw_count,p95,daily_mean,-0.5935014769370598,-0.5333333333333337,0.3375753438590109,1956
14,hw_count,p95,daily_mean,-0.8829489426334851,-0.8888888888888888,0.3041938370318062,4755
15,hw_count,p95,daily_mean,-0.674010182689428,-0.6888888888888889,0.28848625958788415,11130
17,hw_count,p95,daily_mean,-1.0782343987823437,-1.0666666666666664,0.2331008362313001,73
18,hw_count,p95,daily_mean,-0.9102222222222223,-0.911111111111111,0.24710178506249195,900
25,hw_count,p95,daily_mean,-0.8399372208137148,-0.8444444444444446,0.19164235707053945,2761
26,hw_count,p95,daily_mean,-0.9080878328342832,-0.8888888888888888,0.2028213327286381,13804
27,hw_count,p95,daily_mean,-0.987940552016985,-1.0,0.2385097244505807,785
29,hw_count,p95,daily_mean,-0.9348593228421553,-0.9333333333333336,0.2554753094452353,233
0,hw_count,p99,daily_mean,-0.002538265593652082,0.0,0.02902299294975741,59148
4,hw_count,p99,daily_mean,-0.1935756920127917,-0.19999999999999996,0.1012713326888729,11709
5,hw_count,p99,daily_mean,-0.18700813658796853,-0.1555555555555556,0.10653309439817933,1666
6,hw_count,p99,daily_mean,-0.21198209198209195,-0.20000000000000007,0.14787743248580498,1365
7,hw_count,p99,daily_mean,-0.2559283189750386,-0.24444444444444444,0.1631541612530362,8048
8,hw_count,p99,daily_mean,-0.21648111332007955,-0.20000000000000007,0.1696452128720879,10060
9,hw_count,p99,daily_mean,-0.1889229720518064,-0.15555555555555556,0.16222203188458842,1956
14,hw_count,p99,daily_mean,-0.2374389531487323,-0.22222222222222227,0.13053910706590938,4755
15,hw_count,p99,daily_mean,-0.20384745931915743,-0.20000000000000007,0.11746084556016866,11130
17,hw_count,p99,daily_mean,-0.30928462709284626,-0.288888888888889,0.09142156149623604,73
18,hw_count,p99,daily_mean,-0.25723456790123456,-0.24444444444444446,0.1166516444701828,900
25,hw_count,p99,daily_mean,-0.2881081733671375,-0.2888888888888889,0.1166555741354383,2761
26,hw_count,p99,daily_mean,-0.2968398853794391,-0.28888888888888886,0.10069106853144544,13804
27,hw_count,p99,daily_mean,-0.3421939136588818,-0.3555555555555555,0.13133247168229853,785
29,hw_count,p99,daily_mean,-0.35174058178350026,-0.35555555555555557,0.10330349169616748,233
0,hw_max_duration,p90,daily_mean,-0.015607177475710646,0.0,0.17708672883125093,59148
4,hw_max_duration,p90,daily_mean,-0.9818676991108455,-0.9777777777777779,0.4729809890485609,11709
5,hw_max_duration,p90,daily_mean,-0.729438442043484,-0.6888888888888882,0.32676051437146036,1666
6,hw_max_duration,p90,daily_mean,-0.7815873015873017,-0.6222222222222227,0.5953472459955902,1365
7,hw_max_duration,p90,daily_mean,-1.2076816876518668,-1.2222222222222223,0.566323432474567,8048
8,hw_max_duration,p90,daily_mean,-0.9961740667108461,-0.9777777777777779,0.6316241846291359,10060
9,hw_max_duration,p90,daily_mean,-0.7861395137468757,-0.7111111111111112,0.45080683985856324,1956
14,hw_max_duration,p90,daily_mean,-1.2073793667484518,-1.1999999999999993,0.49053421626858745,4755
15,hw_max_duration,p90,daily_mean,-0.8335888988719177,-0.844444444444445,0.4184290253878067,11130
17,hw_max_duration,p90,daily_mean,-1.5707762557077625,-1.4666666666666677,0.4183977509443803,73
18,hw_max_duration,p90,daily_mean,-1.141604938271605,-1.1111111111111116,0.34534117088803434,900
25,hw_max_duration,p90,daily_mean,-1.5050666022777577,-1.488888888888889,0.3837429320193457,2761
26,hw_max_duration,p90,daily_mean,-1.2669757558195693,-1.2444444444444445,0.3105268421802537,13804
27,hw_max_duration,p90,daily_mean,-1.2802830856334042,-1.31111111111111,0.3935488852530031,785
29,hw_max_duration,p90,daily_mean,-1.2456843109203626,-1.2444444444444445,0.4006836595973477,233
0,hw_max_duration,p95,daily_mean,-0.012979493999984973,0.0,0.14640184001592593,59148
4,hw_max_duration,p95,daily_mean,-0.8288325219916303,-0.8222222222222224,0.33973302194716926,11709
5,hw_max_duration,p95,daily_mean,-0.6066159797252234,-0.5999999999999996,0.3090502884365152,1666
6,hw_max_duration,p95,daily_mean,-0.716027676027676,-0.6222222222222218,0.4980512592113225,1365
7,hw_max_duration,p95,daily_mean,-1.033211840070687,-1.0444444444444443,0.482734176609017,8048
8,hw_max_duration,p95,daily_mean,-0.821530815109344,-0.822222222222222,0.5229694592180418,10060
9,hw_max_duration,p95,daily_mean,-0.6701431492842536,-0.6000000000000005,0.4441961726564739,1956
14,hw_max_duration,p95,daily_mean,-1.0262600771118122,-1.0222222222222221,0.41480450910226896,4755
15,hw_max_duration,p95,daily_mean,-0.7458899870220624,-0.7555555555555551,0.3746046113914317,11130
17,hw_max_duration,p95,daily_mean,-1.3445966514459666,-1.333333333333334,0.3017312532685369,73
18,hw_max_duration,p95,daily_mean,-1.0344938271604938,-1.0222222222222221,0.3081130193256128,900
25,hw_max_duration,p95,daily_mean,-1.1730693388063904,-1.1777777777777771,0.31337004665858753,2761
26,hw_max_duration,p95,daily_mean,-1.014131169709263,-1.0,0.2852954233772101,13804
27,hw_max_duration,p95,daily_mean,-1.1263694267515925,-1.1333333333333329,0.30222150363569306,785
29,hw_max_duration,p95,daily_mean,-1.054744873628994,-1.0222222222222221,0.26996034575059175,233
0,hw_max_duration,p99,daily_mean,-0.006226189671107505,0.0,0.07315820269236271,59148
4,hw_max_duration,p99,daily_mean,-0.45696852373767566,-0.46666666666666656,0.24883202679610586,11709
5,hw_max_duration,p99,daily_mean,-0.3327597705748966,-0.28888888888888875,0.2857816551739111,1666
6,hw_max_duration,p99,daily_mean,-0.46997150997151,-0.46666666666666656,0.3112871240318055,1365
7,hw_max_duration,p99,daily_mean,-0.5309034680804064,-0.5111111111111111,0.3243650118418272,8048
8,hw_max_duration,p99,daily_mean,-0.43280538988292466,-0.4444444444444444,0.3364804911539257,10060
